site_id|config_id|run_id|stat_id|stat_name|stat_read_data|stat_req_per_sec_r|stat_data_per_sec_r|stat_write_data|stat_req_per_sec_w|stat_data_per_sec_w|stat_wait_cnt|stat_avg_tm|start_time
37|1|8|266302|Direct Writes|77056250|1.1225|10700|428125000|17.215625|60643.75|42.4375|2.37375|14-OCT-14 08.00.00.000000 AM
37|1|10|266300|DBWR|25000|.001875|0|5063125000|727.56625|720756.25|24.625|.343125|16-OCT-14 08.00.00.000000 AM
37|1|10|266297|Direct Reads|19681875000|326.3925|2801806.25|4862500|.576875|687.5|114.0625|1.48875|16-OCT-14 08.00.00.000000 AM
37|1|10|266298|Others|4825000000|54.32625|686712.5|1835625000|13.914375|261306.25|201131.25|2.06375|16-OCT-14 08.00.00.000000 AM
37|1|10|266301|LGWR|243750|.0275|0|3403750000|542.173125|484512.5|1116068.75|.29|16-OCT-14 08.00.00.000000 AM
37|1|10|266299|Smart Scan|98510000000|152.35375|4280863.2520625|0|0|0|0||16-OCT-14 08.00.00.000000 AM
37|1|10|266302|Direct Writes|90712500|1.141875|12612.5|413125000|18.558125|58856.25|21.5|5.174375|16-OCT-14 08.00.00.000000 AM
37|1|10|266303|Streams AQ|137500|.023125|18.75|0|0|0|173.375|6.023125|16-OCT-14 08.00.00.000000 AM
37|1|10|266304|TOTAL|200729375000|10349.97|8647392.384625|10720000000|1302.7875|1526112.5|6138125|.3725|16-OCT-14 08.00.00.000000 AM
37|1|10|266296|Buffer Cache Reads|79230000000|9815.700625|1301324.772875|0|0|0|6006250|.368125|16-OCT-14 08.00.00.000000 AM
37|1|17|266296|Buffer Cache Reads|84698750000|10749.3025|1493855.5025625|0|0|0|6787500|.40625|27-OCT-14 08.00.00.000000 AM
37|1|17|266297|Direct Reads|19183125000|330.813125|2727868.75|10087500|1.3725|1400|126.75|2.45625|27-OCT-14 08.00.00.000000 AM
37|1|17|266299|Smart Scan|83606875000|125.035|157557.7713125|0|0|0|0||27-OCT-14 08.00.00.000000 AM
37|1|17|266301|LGWR|262500|.03|0|3817500000|601.3975|542787.5|1266793.75|.341875|27-OCT-14 08.00.00.000000 AM
37|1|17|266298|Others|5111875000|50.494375|726756.25|3906250000|15.45375|555493.75|145643.75|1.40375|27-OCT-14 08.00.00.000000 AM
37|1|17|266300|DBWR|25000|.00625|0|5463750000|775.7425|777018.75|51.625|.446875|27-OCT-14 08.00.00.000000 AM
37|1|17|266302|Direct Writes|73318750|1.14|10187.5|471250000|17.48375|67162.5|344.625|3.351875|27-OCT-14 08.00.00.000000 AM
37|1|17|266304|TOTAL|190625000000|11256.9325|276.9350625|13670000000|1411.449375|1943843.75|6929375|.408125|27-OCT-14 08.00.00.000000 AM
37|1|17|266303|Streams AQ|721428.571428571428571428571428571428571|.123571428571428571428571428571428571429|100|0|0|0|896.5|7.23857142857142857142857142857142857143|27-OCT-14 08.00.00.000000 AM
37|1|16|266297|Direct Reads|15481250000|263.501875|2204081.25|8975000|1.41|1262.5|112.25|1.455625|24-OCT-14 08.00.00.000000 AM
37|1|16|266304|TOTAL|181416250000|10628.1525|1909869.2898125|9516875000|1178.66625|1355137.5|6312500|.313125|24-OCT-14 08.00.00.000000 AM
37|1|16|266299|Smart Scan|83873125000|125.530625|3383600.9090625|0|0|0|0||24-OCT-14 08.00.00.000000 AM
37|1|16|266301|LGWR|212500|.023125|0|3136250000|525.3625|446787.5|1161187.5|.233125|24-OCT-14 08.00.00.000000 AM
37|1|16|266303|Streams AQ|0|0|0|0|0|0|12.0666666666666666666666666666666666667|2.26|24-OCT-14 08.00.00.000000 AM
37|1|16|266298|Others|4335625000|50.77625|617337.5|1667500000|12.2175|237450|153081.25|1.1375|24-OCT-14 08.00.00.000000 AM
37|1|16|266302|Direct Writes|65312500|1.031875|9087.5|368125000|14.18125|52343.75|18|2.03625|24-OCT-14 08.00.00.000000 AM
37|1|16|266300|DBWR|25000|.0025|0|4335000000|625.4975|617318.75|25.625|.320625|24-OCT-14 08.00.00.000000 AM
37|1|16|266296|Buffer Cache Reads|79248750000|10187.283125|648481.35275|0|0|0|6181250|.3125|24-OCT-14 08.00.00.000000 AM
37|1|13|266299|Smart Scan|84561875000|126.55125|293444.9051875|0|0|0|0||21-OCT-14 08.00.00.000000 AM
37|1|13|266300|DBWR|31250|.001875|0|5047500000|704.31375|718093.75|29.125|.341875|21-OCT-14 08.00.00.000000 AM
37|1|13|266304|TOTAL|186253750000|10551.044375|269.422875|11095000000|1327.240625|1578075|6463125|.3825|21-OCT-14 08.00.00.000000 AM
37|1|13|266302|Direct Writes|52975000|.81625|7356.25|460625000|16.28375|65606.25|66.0625|2.0675|21-OCT-14 08.00.00.000000 AM
37|1|13|266296|Buffer Cache Reads|77246875000|10050.52125|1261284.7583125|0|0|0|6323125|.3825|21-OCT-14 08.00.00.000000 AM
37|1|13|266297|Direct Reads|21092500000|328.169375|2999937.5|9650000|1.46875|1337.5|125.375|1.061875|21-OCT-14 08.00.00.000000 AM
37|1|13|266298|Others|4670000000|44.9325|664068.75|1898125000|12.558125|269906.25|145650|1.134375|21-OCT-14 08.00.00.000000 AM
37|1|13|266303|Streams AQ|146153.846153846153846153846153846153846|.023846153846153846153846153846153846154|15.3846153846153846153846153846153846154|0|0|0|187.615384615384615384615384615384615385|5.04615384615384615384615384615384615385|21-OCT-14 08.00.00.000000 AM
37|1|13|266301|LGWR|243750|.029375|0|3678125000|592.61625|523125|1264281.25|.293125|21-OCT-14 08.00.00.000000 AM
37|1|14|266298|Others|4408125000|45.36375|626918.75|1799375000|12.3825|255793.75|144631.25|1.248125|22-OCT-14 08.00.00.000000 AM
37|1|14|266297|Direct Reads|29904375000|317.05|4251912.5|9656250|1.411875|1343.75|113.8125|1.266875|22-OCT-14 08.00.00.000000 AM
37|1|14|266296|Buffer Cache Reads|75849375000|9322.680625|1981506.7776875|0|0|0|5632500|.423125|22-OCT-14 08.00.00.000000 AM
37|1|14|266302|Direct Writes|55518750|.861875|7700|437500000|13.360625|62118.75|29|1.44125|22-OCT-14 08.00.00.000000 AM
37|1|14|266304|TOTAL|250853125000|9898.254375|10300382.966875|10162500000|1223.929375|1444975|5770000|.4225|22-OCT-14 08.00.00.000000 AM
37|1|14|266299|Smart Scan|142533750000|212.258125|8307726.0335|0|0|0|0||22-OCT-14 08.00.00.000000 AM
37|1|14|266300|DBWR|6250|.00125|0|4530000000|635.394375|644031.25|24.25|.37625|22-OCT-14 08.00.00.000000 AM
37|1|14|266301|LGWR|225000|.0275|0|3388125000|561.37875|481656.25|1229943.75|.284375|22-OCT-14 08.00.00.000000 AM
