site_id|config_id|run_id|inst_id|stat_id|stat_name|undo_ts_num|num_undo_blocks|num_trans|max_qry_lens|max_tx_concurcy|min_tr|max_tr|snap_too_old_cnt|out_of_space_cnt|unexpired_stolen|unexpired_rel|unexpired_reused|expired_stolen|expired_rel|expired_reused|start_time
37|1|76|15|266626|undo segment|69|415.38|1183655|1792|108|181|181|0|0|0|0|0|0|0|0|23-JAN-15 08.00.00.000000 AM
37|1|76|14|266626|undo segment|68|388.75|1095365|1823|63|181|181|0|0|0|0|0|0|0|0|23-JAN-15 08.00.00.000000 AM
37|1|76|13|266626|undo segment|67|377.06|1072715|1676|161|181|181|0|0|0|0|0|0|0|0|23-JAN-15 08.00.00.000000 AM
37|1|76|11|266626|undo segment|65|465.94|1320750|1668|104|181|181|0|0|0|0|0|0|0|0|23-JAN-15 08.00.00.000000 AM
37|1|77|6|266626|undo segment|32|403.05|1143941|1911|38|181|181|0|0|0|0|0|0|0|0|26-JAN-15 08.00.00.000000 AM
37|1|72|4|266626|undo segment|30|437.93|1162859|1858|182|181|181|0|0|0|0|0|0|0|0|20-JAN-15 08.00.00.000000 AM
37|1|72|16|266626|undo segment|70|507.07|1107853|1793|174|181|181|0|0|0|0|0|0|0|0|20-JAN-15 08.00.00.000000 AM
37|1|72|3|266626|undo segment|35|433.12|1233644|1902|147|181|181|0|0|0|0|0|0|0|0|20-JAN-15 08.00.00.000000 AM
37|1|74|10|266626|undo segment|64|327.7|995029|1763|27|181|181|0|0|0|0|0|0|0|0|21-JAN-15 10.00.00.000000 PM
37|1|74|14|266626|undo segment|68|446.3|987799|1923|32|181|181|0|0|0|0|0|0|0|0|21-JAN-15 10.00.00.000000 PM
37|1|74|6|266626|undo segment|32|326.14|953065|1723|41|181|181|0|0|0|0|0|0|0|0|21-JAN-15 10.00.00.000000 PM
37|1|72|7|266626|undo segment|33|387.61|1116222|1895|163|181|181|0|0|0|0|0|0|0|0|20-JAN-15 08.00.00.000000 AM
37|1|72|13|266626|undo segment|67|404.04|1127529|2125|180|181|181|0|0|0|0|0|0|0|0|20-JAN-15 08.00.00.000000 AM
37|1|72|8|266626|undo segment|34|437.24|1174633|1926|234|181|181|0|0|0|0|0|0|0|0|20-JAN-15 08.00.00.000000 AM
37|1|72|12|266626|undo segment|66|478.13|1225004|1854|129|181|181|0|0|0|0|0|0|0|0|20-JAN-15 08.00.00.000000 AM
37|1|72|5|266626|undo segment|31|404.21|1160837|1941|195|181|181|0|0|0|0|0|0|0|0|20-JAN-15 08.00.00.000000 AM
37|1|72|10|266626|undo segment|64|453.28|1195494|1883|218|181|181|0|0|0|0|0|0|0|0|20-JAN-15 08.00.00.000000 AM
37|1|72|14|266626|undo segment|68|451.01|1242407|2221|160|181|181|0|0|0|0|0|0|0|0|20-JAN-15 08.00.00.000000 AM
37|1|72|15|266626|undo segment|69|448.8|1199339|1938|116|181|181|0|0|0|0|0|0|0|0|20-JAN-15 08.00.00.000000 AM
37|1|72|9|266626|undo segment|63|420.98|1148127|1922|174|181|181|0|0|0|0|0|0|0|0|20-JAN-15 08.00.00.000000 AM
37|1|72|11|266626|undo segment|65|421.62|1334810|1849|217|181|181|0|0|0|0|0|0|0|0|20-JAN-15 08.00.00.000000 AM
37|1|72|6|266626|undo segment|32|465.08|1228000|1674|156|181|181|0|0|0|0|0|0|0|0|20-JAN-15 08.00.00.000000 AM
37|1|73|10|266626|undo segment|64|301.03|933892|1869|34|181|181|0|0|0|0|0|0|0|0|20-JAN-15 10.00.00.000000 PM
37|1|73|4|266626|undo segment|30|232.03|856248|1846|28|181|181|0|0|0|0|0|0|0|0|20-JAN-15 10.00.00.000000 PM
37|1|73|7|266626|undo segment|33|247.38|853791|1822|24|181|181|0|0|0|0|0|0|0|0|20-JAN-15 10.00.00.000000 PM
37|1|73|14|266626|undo segment|68|266.64|870974|1878|25|181|181|0|0|0|0|0|0|0|0|20-JAN-15 10.00.00.000000 PM
37|1|73|2|266626|undo segment|28|295.44|862272|1925|32|181|181|0|0|0|0|0|0|0|0|20-JAN-15 10.00.00.000000 PM
37|1|73|1|266626|undo segment|27|232.93|872891|1763|33|181|181|0|0|0|0|0|0|0|0|20-JAN-15 10.00.00.000000 PM
37|1|73|15|266626|undo segment|69|215.9|844969|1917|26|181|181|0|0|0|0|0|0|0|0|20-JAN-15 10.00.00.000000 PM
