site_id|config_id|run_id|stat_id|stat_name|stat_value|start_time
37|1|41|266339|Buffer access - remote cache %|1.6|03-DEC-14 08.00.00.000000 AM
37|1|41|266340|Buffer access -	       disk %|4.48|03-DEC-14 08.00.00.000000 AM
37|1|42|266339|Buffer access - remote cache %|1.54|04-DEC-14 08.00.00.000000 AM
37|1|42|266338|Buffer access -	local cache %|94.07|04-DEC-14 08.00.00.000000 AM
37|1|42|266340|Buffer access -	       disk %|4.39|04-DEC-14 08.00.00.000000 AM
37|1|40|266339|Buffer access - remote cache %|1.58|02-DEC-14 08.00.00.000000 AM
37|1|40|266338|Buffer access -	local cache %|93.72|02-DEC-14 08.00.00.000000 AM
37|1|40|266340|Buffer access -	       disk %|4.7|02-DEC-14 08.00.00.000000 AM
37|1|47|266338|Buffer access -	local cache %|93.05|12-DEC-14 08.00.00.000000 AM
37|1|47|266339|Buffer access - remote cache %|1.6|12-DEC-14 08.00.00.000000 AM
37|1|47|266340|Buffer access -	       disk %|5.36|12-DEC-14 08.00.00.000000 AM
37|1|45|266338|Buffer access -	local cache %|94.26|09-DEC-14 08.00.00.000000 AM
37|1|45|266340|Buffer access -	       disk %|4.17|09-DEC-14 08.00.00.000000 AM
37|1|45|266339|Buffer access - remote cache %|1.57|09-DEC-14 08.00.00.000000 AM
37|1|48|266339|Buffer access - remote cache %|1.68|15-DEC-14 08.00.00.000000 AM
37|1|48|266340|Buffer access -	       disk %|4.34|15-DEC-14 08.00.00.000000 AM
37|1|48|266338|Buffer access -	local cache %|93.99|15-DEC-14 08.00.00.000000 AM
37|1|46|266338|Buffer access -	local cache %|94.02|11-DEC-14 08.00.00.000000 AM
37|1|46|266339|Buffer access - remote cache %|1.57|11-DEC-14 08.00.00.000000 AM
37|1|46|266340|Buffer access -	       disk %|4.42|11-DEC-14 08.00.00.000000 AM
37|1|53|266338|Buffer access -	local cache %|94.08|22-DEC-14 08.00.00.000000 AM
37|1|53|266339|Buffer access - remote cache %|1.6|22-DEC-14 08.00.00.000000 AM
37|1|53|266340|Buffer access -	       disk %|4.32|22-DEC-14 08.00.00.000000 AM
37|1|49|266338|Buffer access -	local cache %|93.86|16-DEC-14 08.00.00.000000 AM
37|1|49|266340|Buffer access -	       disk %|4.54|16-DEC-14 08.00.00.000000 AM
37|1|49|266339|Buffer access - remote cache %|1.6|16-DEC-14 08.00.00.000000 AM
37|1|50|266338|Buffer access -	local cache %|94.47|17-DEC-14 08.00.00.000000 AM
37|1|50|266340|Buffer access -	       disk %|4.01|17-DEC-14 08.00.00.000000 AM
37|1|50|266339|Buffer access - remote cache %|1.51|17-DEC-14 08.00.00.000000 AM
37|1|51|266338|Buffer access -	local cache %|93.97|18-DEC-14 08.00.00.000000 AM
37|1|51|266340|Buffer access -	       disk %|4.5|18-DEC-14 08.00.00.000000 AM
37|1|51|266339|Buffer access - remote cache %|1.54|18-DEC-14 08.00.00.000000 AM
37|1|52|266339|Buffer access - remote cache %|1.67|19-DEC-14 08.00.00.000000 AM
37|1|52|266338|Buffer access -	local cache %|94.05|19-DEC-14 08.00.00.000000 AM
37|1|52|266340|Buffer access -	       disk %|4.28|19-DEC-14 08.00.00.000000 AM
37|1|55|266340|Buffer access -	       disk %|4.8|24-DEC-14 08.00.00.000000 AM
37|1|55|266339|Buffer access - remote cache %|1.82|24-DEC-14 08.00.00.000000 AM
37|1|55|266338|Buffer access -	local cache %|93.38|24-DEC-14 08.00.00.000000 AM
37|1|57|266340|Buffer access -	       disk %|5.46|29-DEC-14 08.00.00.000000 AM
37|1|57|266339|Buffer access - remote cache %|1.67|29-DEC-14 08.00.00.000000 AM
37|1|57|266338|Buffer access -	local cache %|92.87|29-DEC-14 08.00.00.000000 AM
37|1|56|266340|Buffer access -	       disk %|5.71|26-DEC-14 08.00.00.000000 AM
37|1|56|266338|Buffer access -	local cache %|92.51|26-DEC-14 08.00.00.000000 AM
37|1|56|266339|Buffer access - remote cache %|1.78|26-DEC-14 08.00.00.000000 AM
37|1|54|266339|Buffer access - remote cache %|1.57|23-DEC-14 08.00.00.000000 AM
37|1|54|266340|Buffer access -	       disk %|5.06|23-DEC-14 08.00.00.000000 AM
37|1|54|266338|Buffer access -	local cache %|93.37|23-DEC-14 08.00.00.000000 AM
37|1|58|266339|Buffer access - remote cache %|1.7|30-DEC-14 08.00.00.000000 AM
37|1|58|266338|Buffer access -	local cache %|92.81|30-DEC-14 08.00.00.000000 AM
37|1|58|266340|Buffer access -	       disk %|5.5|30-DEC-14 08.00.00.000000 AM
37|1|59|266339|Buffer access - remote cache %|1.8|31-DEC-14 08.00.00.000000 AM
37|1|59|266340|Buffer access -	       disk %|5.23|31-DEC-14 08.00.00.000000 AM
37|1|59|266338|Buffer access -	local cache %|92.97|31-DEC-14 08.00.00.000000 AM
37|1|60|266340|Buffer access -	       disk %|4.32|01-JAN-15 08.00.00.000000 AM
37|1|60|266338|Buffer access -	local cache %|94.11|01-JAN-15 08.00.00.000000 AM
37|1|60|266339|Buffer access - remote cache %|1.58|01-JAN-15 08.00.00.000000 AM
37|1|61|266338|Buffer access -	local cache %|92.27|02-JAN-15 08.00.00.000000 AM
37|1|61|266340|Buffer access -	       disk %|6.05|02-JAN-15 08.00.00.000000 AM
37|1|61|266339|Buffer access - remote cache %|1.69|02-JAN-15 08.00.00.000000 AM
