site_id|config_id|run_id|stat_id|stat_name|stat_total|stat_lessonems|stat_lesstenms|stat_lesshunms|stat_lessones|stat_lesstens|start_time
37|1|50|266486|Flushes|977051|74.64|23.64|1.71|0|0|17-DEC-14 08.00.00.000000 AM
37|1|50|266487|Writes|13534856|6.75|34.25|58.83|.17|0|17-DEC-14 08.00.00.000000 AM
37|1|51|266485|Pins|419644|87.06|11.8|1.13|.01|0|18-DEC-14 08.00.00.000000 AM
37|1|51|266486|Flushes|937185|71.15|25.72|3.11|.02|0|18-DEC-14 08.00.00.000000 AM
37|1|51|266487|Writes|13919407|6.38|33.45|59.91|.26|0|18-DEC-14 08.00.00.000000 AM
37|1|52|266487|Writes|12953715|6.65|34.03|59.06|.27|0|19-DEC-14 08.00.00.000000 AM
37|1|52|266485|Pins|418113|88.56|10.15|1.27|.02|0|19-DEC-14 08.00.00.000000 AM
37|1|52|266486|Flushes|973824|75.84|22.45|1.7|0|0|19-DEC-14 08.00.00.000000 AM
37|1|55|266486|Flushes|958729|88.65|10.82|.54|0|0|24-DEC-14 08.00.00.000000 AM
37|1|55|266487|Writes|7716637|10.55|45.73|43.57|.16|0|24-DEC-14 08.00.00.000000 AM
37|1|55|266485|Pins|313054|93.84|5.8|.36|0|0|24-DEC-14 08.00.00.000000 AM
37|1|57|266485|Pins|412641|91.52|7.94|.54|0|0|29-DEC-14 08.00.00.000000 AM
37|1|57|266487|Writes|10596722|8.17|40.81|50.87|.16|0|29-DEC-14 08.00.00.000000 AM
37|1|57|266486|Flushes|987122|82.96|16.07|.97|0|0|29-DEC-14 08.00.00.000000 AM
37|1|56|266486|Flushes|946770|90.55|9.06|.39|0|0|26-DEC-14 08.00.00.000000 AM
37|1|56|266487|Writes|6372840|12.07|50.3|37.41|.22|0|26-DEC-14 08.00.00.000000 AM
37|1|56|266485|Pins|229185|94.61|5.14|.25|0|0|26-DEC-14 08.00.00.000000 AM
37|1|54|266485|Pins|304127|89.2|9.92|.88|0|0|23-DEC-14 08.00.00.000000 AM
37|1|54|266486|Flushes|918804|81.63|17.37|1.01|0|0|23-DEC-14 08.00.00.000000 AM
37|1|54|266487|Writes|11087678|7.45|37.69|54.69|.17|0|23-DEC-14 08.00.00.000000 AM
37|1|58|266487|Writes|9224309|8.85|41.84|49.08|.23|0|30-DEC-14 08.00.00.000000 AM
37|1|58|266485|Pins|351563|92.03|7.46|.51|.01|0|30-DEC-14 08.00.00.000000 AM
37|1|58|266486|Flushes|935114|83.77|15.41|.82|0|0|30-DEC-14 08.00.00.000000 AM
37|1|59|266486|Flushes|1268528|84.12|14.98|.72|.1|.08|31-DEC-14 08.00.00.000000 AM
37|1|59|266485|Pins|1384336|81.06|18.63|.29|.01|.01|31-DEC-14 08.00.00.000000 AM
37|1|59|266487|Writes|8562378|9.9|46|42.69|1.13|.28|31-DEC-14 08.00.00.000000 AM
37|1|60|266486|Flushes|885418|93.87|5.95|.19|0|0|01-JAN-15 08.00.00.000000 AM
37|1|60|266485|Pins|176748|96.26|3.54|.21|0|0|01-JAN-15 08.00.00.000000 AM
37|1|60|266487|Writes|3798391|15.22|56.9|27.73|.15|0|01-JAN-15 08.00.00.000000 AM
37|1|61|266486|Flushes|1006056|88.23|11.24|.53|0|0|02-JAN-15 08.00.00.000000 AM
37|1|61|266487|Writes|7639576|10.47|46.48|42.85|.2|0|02-JAN-15 08.00.00.000000 AM
37|1|61|266485|Pins|322084|93.59|6|.42|0|0|02-JAN-15 08.00.00.000000 AM
37|1|62|266485|Pins|460309|86.94|11.91|1.15|0|0|05-JAN-15 08.00.00.000000 AM
37|1|62|266486|Flushes|972223|71.63|26.37|2.01|0|0|05-JAN-15 08.00.00.000000 AM
37|1|62|266487|Writes|15004586|6.62|34.31|58.87|.2|0|05-JAN-15 08.00.00.000000 AM
37|1|67|266487|Writes|14322408|6.28|33.48|60|.24|.01|12-JAN-15 08.00.00.000000 AM
37|1|67|266486|Flushes|1032668|69.7|27.87|2.43|0|0|12-JAN-15 08.00.00.000000 AM
37|1|67|266485|Pins|496806|86.12|12.48|1.4|0|0|12-JAN-15 08.00.00.000000 AM
37|1|64|266486|Flushes|1009344|74.89|23.35|1.76|0|0|07-JAN-15 08.00.00.000000 AM
37|1|64|266485|Pins|469782|87.41|11.23|1.36|0|0|07-JAN-15 08.00.00.000000 AM
37|1|64|266487|Writes|13761618|6.85|35.61|57.38|.16|0|07-JAN-15 08.00.00.000000 AM
37|1|65|266486|Flushes|1019998|70.75|27.19|2.07|0|0|08-JAN-15 08.00.00.000000 AM
37|1|65|266487|Writes|13995395|6.05|32.5|61.16|.28|0|08-JAN-15 08.00.00.000000 AM
37|1|65|266485|Pins|680585|84.68|14.35|.97|0|0|08-JAN-15 08.00.00.000000 AM
37|1|66|266486|Flushes|1020627|74.3|23.85|1.85|0|0|09-JAN-15 08.00.00.000000 AM
37|1|66|266487|Writes|13175411|6.25|34.02|59.43|.3|0|09-JAN-15 08.00.00.000000 AM
37|1|66|266485|Pins|413751|87.1|11.41|1.48|.01|0|09-JAN-15 08.00.00.000000 AM
37|1|63|266487|Writes|13722068|6.46|34.89|58.28|.37|0|06-JAN-15 08.00.00.000000 AM
37|1|63|266486|Flushes|987878|74.37|23.76|1.88|0|0|06-JAN-15 08.00.00.000000 AM
37|1|63|266485|Pins|414574|87.29|11.22|1.49|0|0|06-JAN-15 08.00.00.000000 AM
37|1|71|266487|Writes|9329074|35.42|48.98|15.58|.02||19-JAN-15 08.00.00.000000 AM
37|1|71|266485|Pins|468685|92.6|7.11|.29|||19-JAN-15 08.00.00.000000 AM
37|1|71|266486|Flushes|856291|81.11|18.31|.58|0|0|19-JAN-15 08.00.00.000000 AM
37|1|68|266487|Writes|14477707|6.27|34.12|59.39|.22|0|13-JAN-15 08.00.00.000000 AM
37|1|68|266486|Flushes|1029576|69.92|27.85|2.23|0|0|13-JAN-15 08.00.00.000000 AM
37|1|68|266485|Pins|451164|86.52|12.09|1.39|0|0|13-JAN-15 08.00.00.000000 AM
37|1|69|266487|Writes|14766388|6.43|33.19|60.05|.33|0|14-JAN-15 08.00.00.000000 AM
37|1|69|266486|Flushes|939318|71.21|26.66|2.13|.01|0|14-JAN-15 08.00.00.000000 AM
37|1|69|266485|Pins|422183|87.89|11|1.11|.01|0|14-JAN-15 08.00.00.000000 AM
37|1|70|266485|Pins|528824|86.02|12.71|1.26|.01|0|15-JAN-15 08.00.00.000000 AM
37|1|70|266487|Writes|13575612|6.24|34.09|58.77|.89|.01|15-JAN-15 08.00.00.000000 AM
