site_id|config_id|run_id|stat_id|stat_usedby|stat_send_mbytes_sec|stat_rvd_mbytes_sec|start_time
37|1|36|266564|Global Cache|36.08|36.05|24-NOV-14 08.00.00.000000 AM
37|1|36|266565|Parallel Query|.01|.01|24-NOV-14 08.00.00.000000 AM
37|1|36|266568|Other|.05|.04|24-NOV-14 08.00.00.000000 AM
37|1|32|266564|Global Cache|37.98|37.96|18-NOV-14 08.00.00.000000 AM
37|1|32|266567|DB Streams|0|0|18-NOV-14 08.00.00.000000 AM
37|1|32|266565|Parallel Query|.02|.02|18-NOV-14 08.00.00.000000 AM
37|1|32|266566|DB Locks|10.29|10.31|18-NOV-14 08.00.00.000000 AM
37|1|32|266568|Other|.05|.04|18-NOV-14 08.00.00.000000 AM
37|1|33|266565|Parallel Query|.01|.01|19-NOV-14 08.00.00.000000 AM
37|1|33|266567|DB Streams|0|0|19-NOV-14 08.00.00.000000 AM
37|1|33|266566|DB Locks|10|10.01|19-NOV-14 08.00.00.000000 AM
37|1|33|266564|Global Cache|36.21|36.19|19-NOV-14 08.00.00.000000 AM
37|1|33|266568|Other|.05|.05|19-NOV-14 08.00.00.000000 AM
37|1|34|266564|Global Cache|35.49|35.46|20-NOV-14 08.00.00.000000 AM
37|1|34|266565|Parallel Query|.01|.01|20-NOV-14 08.00.00.000000 AM
37|1|34|266566|DB Locks|9.68|9.69|20-NOV-14 08.00.00.000000 AM
37|1|34|266568|Other|.05|.05|20-NOV-14 08.00.00.000000 AM
37|1|34|266567|DB Streams|0|0|20-NOV-14 08.00.00.000000 AM
37|1|37|266565|Parallel Query|.01|.01|25-NOV-14 08.00.00.000000 AM
37|1|37|266567|DB Streams|0|0|25-NOV-14 08.00.00.000000 AM
37|1|37|266564|Global Cache|34.74|34.72|25-NOV-14 08.00.00.000000 AM
37|1|37|266568|Other|.05|.04|25-NOV-14 08.00.00.000000 AM
37|1|37|266566|DB Locks|9.69|9.7|25-NOV-14 08.00.00.000000 AM
37|1|38|266564|Global Cache|31.5|31.47|26-NOV-14 08.00.00.000000 AM
37|1|38|266567|DB Streams|0|0|26-NOV-14 08.00.00.000000 AM
37|1|38|266565|Parallel Query|.02|.02|26-NOV-14 08.00.00.000000 AM
37|1|38|266566|DB Locks|8.83|8.83|26-NOV-14 08.00.00.000000 AM
37|1|38|266568|Other|.05|.04|26-NOV-14 08.00.00.000000 AM
37|1|39|266565|Parallel Query|0|.01|27-NOV-14 08.00.00.000000 AM
37|1|39|266566|DB Locks|5.67|5.68|27-NOV-14 08.00.00.000000 AM
37|1|39|266568|Other|.04|.04|27-NOV-14 08.00.00.000000 AM
37|1|39|266564|Global Cache|19.03|19.02|27-NOV-14 08.00.00.000000 AM
37|1|39|266567|DB Streams|0|0|27-NOV-14 08.00.00.000000 AM
37|1|43|266564|Global Cache|33.23|33.21|05-DEC-14 08.00.00.000000 AM
37|1|43|266568|Other|.05|.04|05-DEC-14 08.00.00.000000 AM
37|1|43|266566|DB Locks|9.26|9.27|05-DEC-14 08.00.00.000000 AM
37|1|43|266567|DB Streams|0|0|05-DEC-14 08.00.00.000000 AM
37|1|43|266565|Parallel Query|.03|.03|05-DEC-14 08.00.00.000000 AM
37|1|44|266564|Global Cache|35.3|35.27|08-DEC-14 08.00.00.000000 AM
37|1|44|266566|DB Locks|9.95|9.96|08-DEC-14 08.00.00.000000 AM
37|1|44|266568|Other|.05|.04|08-DEC-14 08.00.00.000000 AM
37|1|44|266567|DB Streams|0|0|08-DEC-14 08.00.00.000000 AM
37|1|44|266565|Parallel Query|.03|.03|08-DEC-14 08.00.00.000000 AM
37|1|41|266564|Global Cache|36.12|36.1|03-DEC-14 08.00.00.000000 AM
37|1|41|266568|Other|.05|.04|03-DEC-14 08.00.00.000000 AM
37|1|41|266566|DB Locks|9.85|9.86|03-DEC-14 08.00.00.000000 AM
37|1|41|266567|DB Streams|0|0|03-DEC-14 08.00.00.000000 AM
37|1|41|266565|Parallel Query|.03|.03|03-DEC-14 08.00.00.000000 AM
37|1|42|266566|DB Locks|10.2|10.21|04-DEC-14 08.00.00.000000 AM
37|1|42|266567|DB Streams|0|0|04-DEC-14 08.00.00.000000 AM
37|1|42|266564|Global Cache|36.68|36.65|04-DEC-14 08.00.00.000000 AM
37|1|42|266568|Other|.05|.04|04-DEC-14 08.00.00.000000 AM
37|1|42|266565|Parallel Query|.01|.01|04-DEC-14 08.00.00.000000 AM
37|1|40|266564|Global Cache|37.36|37.33|02-DEC-14 08.00.00.000000 AM
37|1|40|266565|Parallel Query|.01|.02|02-DEC-14 08.00.00.000000 AM
37|1|40|266567|DB Streams|0|0|02-DEC-14 08.00.00.000000 AM
37|1|40|266566|DB Locks|10.47|10.48|02-DEC-14 08.00.00.000000 AM
37|1|40|266568|Other|.05|.04|02-DEC-14 08.00.00.000000 AM
37|1|47|266565|Parallel Query|.01|.01|12-DEC-14 08.00.00.000000 AM
37|1|47|266567|DB Streams|0|0|12-DEC-14 08.00.00.000000 AM
37|1|47|266564|Global Cache|31.66|31.63|12-DEC-14 08.00.00.000000 AM
37|1|47|266568|Other|.05|.04|12-DEC-14 08.00.00.000000 AM
37|1|47|266566|DB Locks|9|9.01|12-DEC-14 08.00.00.000000 AM
37|1|45|266568|Other|.05|.04|09-DEC-14 08.00.00.000000 AM
37|1|45|266564|Global Cache|34.15|34.12|09-DEC-14 08.00.00.000000 AM
37|1|45|266567|DB Streams|0|0|09-DEC-14 08.00.00.000000 AM
37|1|45|266565|Parallel Query|.02|.02|09-DEC-14 08.00.00.000000 AM
37|1|45|266566|DB Locks|9.53|9.54|09-DEC-14 08.00.00.000000 AM
37|1|48|266564|Global Cache|37.5|37.47|15-DEC-14 08.00.00.000000 AM
37|1|48|266567|DB Streams|0|0|15-DEC-14 08.00.00.000000 AM
37|1|48|266565|Parallel Query|.02|.02|15-DEC-14 08.00.00.000000 AM
37|1|48|266566|DB Locks|10.29|10.3|15-DEC-14 08.00.00.000000 AM
37|1|48|266568|Other|.05|.05|15-DEC-14 08.00.00.000000 AM
37|1|46|266564|Global Cache|34.73|34.7|11-DEC-14 08.00.00.000000 AM
37|1|46|266565|Parallel Query|.02|.02|11-DEC-14 08.00.00.000000 AM
37|1|46|266568|Other|.05|.04|11-DEC-14 08.00.00.000000 AM
37|1|46|266566|DB Locks|9.83|9.84|11-DEC-14 08.00.00.000000 AM
37|1|46|266567|DB Streams|0|0|11-DEC-14 08.00.00.000000 AM
37|1|53|266565|Parallel Query|.02|.02|22-DEC-14 08.00.00.000000 AM
37|1|53|266566|DB Locks|8.93|8.93|22-DEC-14 08.00.00.000000 AM
37|1|53|266564|Global Cache|31.28|31.26|22-DEC-14 08.00.00.000000 AM
37|1|53|266567|DB Streams|0|0|22-DEC-14 08.00.00.000000 AM
37|1|53|266568|Other|.05|.05|22-DEC-14 08.00.00.000000 AM
37|1|49|266565|Parallel Query|.02|.02|16-DEC-14 08.00.00.000000 AM
37|1|49|266568|Other|.05|.04|16-DEC-14 08.00.00.000000 AM
37|1|49|266566|DB Locks|10.21|10.22|16-DEC-14 08.00.00.000000 AM
37|1|49|266564|Global Cache|36.9|36.87|16-DEC-14 08.00.00.000000 AM
37|1|49|266567|DB Streams|0|0|16-DEC-14 08.00.00.000000 AM
37|1|50|266566|DB Locks|9.49|9.5|17-DEC-14 08.00.00.000000 AM
37|1|50|266567|DB Streams|0|0|17-DEC-14 08.00.00.000000 AM
37|1|50|266564|Global Cache|34.22|34.2|17-DEC-14 08.00.00.000000 AM
37|1|50|266568|Other|.05|.04|17-DEC-14 08.00.00.000000 AM
37|1|50|266565|Parallel Query|.02|.02|17-DEC-14 08.00.00.000000 AM
37|1|51|266568|Other|.05|.04|18-DEC-14 08.00.00.000000 AM
37|1|51|266565|Parallel Query|.02|.02|18-DEC-14 08.00.00.000000 AM
37|1|51|266566|DB Locks|9.6|9.61|18-DEC-14 08.00.00.000000 AM
37|1|51|266564|Global Cache|34.53|34.5|18-DEC-14 08.00.00.000000 AM
37|1|51|266567|DB Streams|0|0|18-DEC-14 08.00.00.000000 AM
37|1|52|266564|Global Cache|33.74|33.72|19-DEC-14 08.00.00.000000 AM
37|1|52|266565|Parallel Query|.02|.02|19-DEC-14 08.00.00.000000 AM
37|1|52|266566|DB Locks|9.2|9.21|19-DEC-14 08.00.00.000000 AM
37|1|52|266568|Other|.05|.04|19-DEC-14 08.00.00.000000 AM
37|1|52|266567|DB Streams|0|0|19-DEC-14 08.00.00.000000 AM
37|1|55|266564|Global Cache|20.32|20.31|24-DEC-14 08.00.00.000000 AM
37|1|55|266567|DB Streams|0|0|24-DEC-14 08.00.00.000000 AM
37|1|55|266565|Parallel Query|.01|.01|24-DEC-14 08.00.00.000000 AM
37|1|55|266566|DB Locks|5.86|5.86|24-DEC-14 08.00.00.000000 AM
37|1|55|266568|Other|.04|.04|24-DEC-14 08.00.00.000000 AM
37|1|57|266566|DB Locks|7.61|7.62|29-DEC-14 08.00.00.000000 AM
37|1|57|266568|Other|.04|.04|29-DEC-14 08.00.00.000000 AM
37|1|57|266564|Global Cache|25.95|25.93|29-DEC-14 08.00.00.000000 AM
37|1|57|266565|Parallel Query|.03|.02|29-DEC-14 08.00.00.000000 AM
37|1|57|266567|DB Streams|0|0|29-DEC-14 08.00.00.000000 AM
37|1|56|266565|Parallel Query|.01|.01|26-DEC-14 08.00.00.000000 AM
37|1|56|266566|DB Locks|4.76|4.77|26-DEC-14 08.00.00.000000 AM
37|1|56|266568|Other|.04|.04|26-DEC-14 08.00.00.000000 AM
37|1|56|266564|Global Cache|15.88|15.87|26-DEC-14 08.00.00.000000 AM
37|1|56|266567|DB Streams|0|0|26-DEC-14 08.00.00.000000 AM
37|1|54|266567|DB Streams|0|0|23-DEC-14 08.00.00.000000 AM
37|1|54|266564|Global Cache|27.04|27.02|23-DEC-14 08.00.00.000000 AM
37|1|54|266566|DB Locks|7.89|7.9|23-DEC-14 08.00.00.000000 AM
37|1|54|266565|Parallel Query|.02|.02|23-DEC-14 08.00.00.000000 AM
37|1|54|266568|Other|.04|.04|23-DEC-14 08.00.00.000000 AM
37|1|58|266568|Other|.04|.04|30-DEC-14 08.00.00.000000 AM
37|1|58|266566|DB Locks|7.06|7.06|30-DEC-14 08.00.00.000000 AM
37|1|58|266564|Global Cache|24.34|24.33|30-DEC-14 08.00.00.000000 AM
37|1|58|266565|Parallel Query|.02|.02|30-DEC-14 08.00.00.000000 AM
37|1|58|266567|DB Streams|0|0|30-DEC-14 08.00.00.000000 AM
37|1|59|266566|DB Locks|6.23|6.24|31-DEC-14 08.00.00.000000 AM
37|1|59|266564|Global Cache|21.54|21.53|31-DEC-14 08.00.00.000000 AM
37|1|59|266568|Other|.04|.04|31-DEC-14 08.00.00.000000 AM
37|1|59|266565|Parallel Query|.02|.02|31-DEC-14 08.00.00.000000 AM
37|1|59|266567|DB Streams|0|0|31-DEC-14 08.00.00.000000 AM
37|1|60|266564|Global Cache|10.56|10.56|01-JAN-15 08.00.00.000000 AM
37|1|60|266567|DB Streams|0|0|01-JAN-15 08.00.00.000000 AM
37|1|60|266568|Other|.04|.04|01-JAN-15 08.00.00.000000 AM
37|1|60|266566|DB Locks|3.32|3.32|01-JAN-15 08.00.00.000000 AM
37|1|60|266565|Parallel Query|0|0|01-JAN-15 08.00.00.000000 AM
37|1|61|266564|Global Cache|19.06|19.04|02-JAN-15 08.00.00.000000 AM
37|1|61|266567|DB Streams|0|0|02-JAN-15 08.00.00.000000 AM
37|1|61|266568|Other|.04|.04|02-JAN-15 08.00.00.000000 AM
37|1|61|266565|Parallel Query|.01|.01|02-JAN-15 08.00.00.000000 AM
37|1|61|266566|DB Locks|5.65|5.65|02-JAN-15 08.00.00.000000 AM
37|1|62|266565|Parallel Query|.01|.01|05-JAN-15 08.00.00.000000 AM
37|1|62|266564|Global Cache|38.3|38.27|05-JAN-15 08.00.00.000000 AM
37|1|62|266567|DB Streams|0|0|05-JAN-15 08.00.00.000000 AM
37|1|62|266566|DB Locks|10.7|10.72|05-JAN-15 08.00.00.000000 AM
37|1|62|266568|Other|.04|.04|05-JAN-15 08.00.00.000000 AM
37|1|67|266567|DB Streams|0|0|12-JAN-15 08.00.00.000000 AM
37|1|67|266566|DB Locks|10.25|10.27|12-JAN-15 08.00.00.000000 AM
37|1|67|266568|Other|.05|.05|12-JAN-15 08.00.00.000000 AM
37|1|67|266565|Parallel Query|.02|.02|12-JAN-15 08.00.00.000000 AM
37|1|67|266564|Global Cache|37.82|37.79|12-JAN-15 08.00.00.000000 AM
37|1|64|266564|Global Cache|35.21|35.18|07-JAN-15 08.00.00.000000 AM
37|1|64|266565|Parallel Query|.02|.02|07-JAN-15 08.00.00.000000 AM
37|1|64|266566|DB Locks|9.92|9.93|07-JAN-15 08.00.00.000000 AM
37|1|64|266567|DB Streams|0|0|07-JAN-15 08.00.00.000000 AM
37|1|64|266568|Other|.04|.04|07-JAN-15 08.00.00.000000 AM
37|1|65|266564|Global Cache|36.34|36.31|08-JAN-15 08.00.00.000000 AM
37|1|65|266566|DB Locks|10.43|10.45|08-JAN-15 08.00.00.000000 AM
37|1|65|266565|Parallel Query|.01|.02|08-JAN-15 08.00.00.000000 AM
37|1|65|266568|Other|.05|.05|08-JAN-15 08.00.00.000000 AM
37|1|65|266567|DB Streams|0|0|08-JAN-15 08.00.00.000000 AM
37|1|66|266564|Global Cache|36.47|36.45|09-JAN-15 08.00.00.000000 AM
37|1|66|266565|Parallel Query|.01|.01|09-JAN-15 08.00.00.000000 AM
37|1|66|266567|DB Streams|0|0|09-JAN-15 08.00.00.000000 AM
