site_id|config_id|run_id|stat_id|stat_name|stat_num_wait|stat_timeout_pct|stat_wait_time|stat_avg_wait|stat_db_time_pct|start_time
37|1|349|266053|System I/O|519024|0|450|.8670119300841579580135022657911772866|.02|28-JUL-15 08.00.00.000000 AM
37|1|349|266047|Application|5757530|8.75|113872|19.7779256035140068744756866225621056252|4.87|28-JUL-15 08.00.00.000000 AM
37|1|349|266048|Commit|15066010|0|32796|2.1768205384172717262234659342453642338|1.39|28-JUL-15 08.00.00.000000 AM
37|1|349|266043|DB CPU|||852279||36.35|28-JUL-15 08.00.00.000000 AM
37|1|349|266044|User I/O|1023405310|0|1077758|1.05310964235665339668796520119677706187|45.89|28-JUL-15 08.00.00.000000 AM
37|1|349|266049|Concurrency|13161858|0|19798|1.50419492445519469971488827793158078442|.84|28-JUL-15 08.00.00.000000 AM
37|1|349|266051|Configuration|33750|61.56|203|6.01481481481481481481481481481481481481|.01|28-JUL-15 08.00.00.000000 AM
37|1|349|266052|Administrative|222|100|36|162.162162162162162162162162162162162162|0|28-JUL-15 08.00.00.000000 AM
37|1|349|266046|Cluster|697481317|0|293114|.420246382026029236278453606234731589233|12.51|28-JUL-15 08.00.00.000000 AM
37|1|349|266045|Other|106700984|17.25|13672|.128133776160864645821822974003688663265|.58|28-JUL-15 08.00.00.000000 AM
37|1|350|266044|User I/O|772834306|0|776741|1.00505502145760077063659749079513558758|46.31|29-JUL-15 10.00.00.000000 PM
37|1|350|266045|Other|65959885|1.69|4044|.061309991671453035432066020127233393448|.23|29-JUL-15 10.00.00.000000 PM
37|1|350|266048|Commit|11231017|0|18735|1.66814812941695306845319528943816931272|1.12|29-JUL-15 10.00.00.000000 PM
37|1|350|266049|Concurrency|5763213|0|24692|4.28441565494802985765058483870021809015|1.45|29-JUL-15 10.00.00.000000 PM
37|1|350|266052|Administrative|338|100|63|186.390532544378698224852071005917159763|0|29-JUL-15 10.00.00.000000 PM
37|1|350|266046|Cluster|594584547|0|192704|.32409856760034498508418181275067681838|11.52|29-JUL-15 10.00.00.000000 PM
37|1|350|284428|Scheduler|732|0|7|9.56284153005464480874316939890710382514|0|29-JUL-15 10.00.00.000000 PM
37|1|350|266043|DB CPU|||598614||35.78|29-JUL-15 10.00.00.000000 PM
37|1|350|266051|Configuration|25786|88.81|142|5.5068641898704723493368494531916543861|.01|29-JUL-15 10.00.00.000000 PM
37|1|350|266050|Network|755666817|0|9606|.012711951595460886831557141141477435022|.58|29-JUL-15 10.00.00.000000 PM
37|1|350|266053|System I/O|279155|0|254|.909888771471046551199154591535168633913|.01|29-JUL-15 10.00.00.000000 PM
37|1|350|266047|Application|4649347|8.69|113299|24.3687984570736492673057098125822830604|6.8|29-JUL-15 10.00.00.000000 PM
37|1|359|266048|Commit|10941444|0|16882|1.54294076723328291951226913010750683365|1.06|04-AUG-15 10.00.00.000000 PM
37|1|359|266049|Concurrency|5912254|0|12303|2.08093224682160137233616823634437897966|.76|04-AUG-15 10.00.00.000000 PM
37|1|359|266050|Network|752735722|0|9478|.012591404556724358565780939515449221633|.6|04-AUG-15 10.00.00.000000 PM
37|1|359|266043|DB CPU|||584498||36.71|04-AUG-15 10.00.00.000000 PM
37|1|359|266046|Cluster|556491093|0|184158|.33092712950214281327230515080319533524|11.57|04-AUG-15 10.00.00.000000 PM
37|1|359|266044|User I/O|738915036|0|728730|.986216228519133829075309275476700409166|45.65|04-AUG-15 10.00.00.000000 PM
37|1|359|266052|Administrative|297|100|55|185.185185185185185185185185185185185185|0|04-AUG-15 10.00.00.000000 PM
37|1|359|266053|System I/O|384004|0|288|.74999218758137936063166008687409506151|.02|04-AUG-15 10.00.00.000000 PM
37|1|359|284428|Scheduler|562|0|0|0|0|04-AUG-15 10.00.00.000000 PM
37|1|359|266045|Other|75091874|.94|2827|.037647215995701478964288466152809024316|.17|04-AUG-15 10.00.00.000000 PM
37|1|359|266047|Application|5183936|15.31|109718|21.1649989506043284484993641896813540908|6.94|04-AUG-15 10.00.00.000000 PM
37|1|359|266051|Configuration|18670|74.69|97|5.19550080342795929298339582217461167649|.01|04-AUG-15 10.00.00.000000 PM
37|1|360|266045|Other|147857008|13.19|14252|.096390426079770260196256642769343743247|.56|04-AUG-15 08.00.00.000000 AM
37|1|360|266043|DB CPU|||885180||34.98|04-AUG-15 08.00.00.000000 AM
37|1|360|266046|Cluster|740860090|0|333619|.450313094878683504195778719838991461937|13.19|04-AUG-15 08.00.00.000000 AM
37|1|360|266050|Network|980565551|0|11363|.011588210485685316513837023426086075096|.45|04-AUG-15 08.00.00.000000 AM
37|1|360|266044|User I/O|1031102574|0|1176971|1.1414683947826125783679791298823777352|46.45|04-AUG-15 08.00.00.000000 AM
37|1|360|266048|Commit|15268868|0|41475|2.71631138601761440337292849738435095516|1.63|04-AUG-15 08.00.00.000000 AM
37|1|360|266053|System I/O|476976|0|441|.924574821374660360269699104357451947268|.02|04-AUG-15 08.00.00.000000 AM
37|1|360|266047|Application|5759071|14.38|113569|19.7200208158572797591833821809107753664|4.51|04-AUG-15 08.00.00.000000 AM
37|1|360|266049|Concurrency|14230140|0|20361|1.43083623913749267400039634184906121795|.8|04-AUG-15 08.00.00.000000 AM
37|1|360|266051|Configuration|33514|59.75|266|7.93698155994509757116428955063555529033|.01|04-AUG-15 08.00.00.000000 AM
37|1|360|266052|Administrative|211|98.44|31|146.919431279620853080568720379146919431|0|04-AUG-15 08.00.00.000000 AM
37|1|361|266052|Administrative|355|100|69|194.366197183098591549295774647887323944|0|05-AUG-15 10.00.00.000000 PM
37|1|361|266044|User I/O|758731150|0|747408|.985076202552116121764606606701201077615|46.01|05-AUG-15 10.00.00.000000 PM
37|1|361|266050|Network|739409735|0|9373|.012676327557413076256021974068274878745|.58|05-AUG-15 10.00.00.000000 PM
37|1|361|284428|Scheduler|8018|0|21|2.61910700922923422299825392866051384385|0|05-AUG-15 10.00.00.000000 PM
37|1|361|266047|Application|4711058|8.5|111206|23.6053132863148787384914386534829331331|6.94|05-AUG-15 10.00.00.000000 PM
37|1|361|266045|Other|54419540|1.94|3760|.069092829524101085749714165169349097769|.23|05-AUG-15 10.00.00.000000 PM
37|1|361|266046|Cluster|595619718|0|186437|.313013478845238632613569720672007705427|11.51|05-AUG-15 10.00.00.000000 PM
37|1|361|266043|DB CPU|||587888||36.33|05-AUG-15 10.00.00.000000 PM
37|1|361|266049|Concurrency|5710154|0|13497|2.36368406176085618706605811331883518378|.8|05-AUG-15 10.00.00.000000 PM
37|1|361|266053|System I/O|384370|0|287|.746676379530140229466399562921143689674|.02|05-AUG-15 10.00.00.000000 PM
37|1|361|266048|Commit|10742615|0|16825|1.56619221669956523621110874773041759385|1.04|05-AUG-15 10.00.00.000000 PM
37|1|361|266051|Configuration|16754|80.25|131|7.81902829175122358839680076399665751462|.01|05-AUG-15 10.00.00.000000 PM
37|1|365|266046|Cluster|725263626|0|480020|.661855886317398192529787782298074328079|15.94|07-AUG-15 08.00.00.000000 AM
37|1|365|266050|Network|859540172|0|10047|.011688807954865430070905400335378391134|.34|07-AUG-15 08.00.00.000000 AM
37|1|365|266051|Configuration|32074|60.25|291|9.07276922117603042963147720895429319698|.01|07-AUG-15 08.00.00.000000 AM
37|1|365|266045|Other|87507070|14.38|14098|.161106982555809490593160072666128576811|.47|07-AUG-15 08.00.00.000000 AM
37|1|365|266048|Commit|15806109|0|38548|2.43880388272660905982617227301165644246|1.28|07-AUG-15 08.00.00.000000 AM
37|1|365|266044|User I/O|918352870|0|1017997|1.10850309641870014518493310746663208011|33.67|07-AUG-15 08.00.00.000000 AM
37|1|365|266047|Application|15576292|66.06|120109|7.71101363533760152929850056740076521421|4|07-AUG-15 08.00.00.000000 AM
37|1|365|266053|System I/O|1450442|0|1210|.834228462772037765039898182760841178069|.04|07-AUG-15 08.00.00.000000 AM
37|1|365|266043|DB CPU|||900587||29.87|07-AUG-15 08.00.00.000000 AM
37|1|365|266049|Concurrency|100383522|0|493418|4.91532863331892260165966282792906987264|15.82|07-AUG-15 08.00.00.000000 AM
37|1|365|266052|Administrative|190|100|30|157.894736842105263157894736842105263158|0|07-AUG-15 08.00.00.000000 AM
37|1|366|266048|Commit|11336750|0|17831|1.57284936158952080622753434626325887049|1.01|09-AUG-15 10.00.00.000000 PM
37|1|366|266053|System I/O|3503636|0|1988|.567410541506024027610174116260935782142|.09|09-AUG-15 10.00.00.000000 PM
37|1|366|266045|Other|107096105|.44|4782|.044651483823804796635694640808832403382|.27|09-AUG-15 10.00.00.000000 PM
37|1|366|266044|User I/O|763332187|0|767270|1.00515871473398251972309402957221296893|43.1|09-AUG-15 10.00.00.000000 PM
37|1|366|266047|Application|5004388|20.5|114038|22.7876016008351071100002637685167497005|6.48|09-AUG-15 10.00.00.000000 PM
37|1|366|266043|DB CPU|||595793||33.54|09-AUG-15 10.00.00.000000 PM
37|1|366|266046|Cluster|618061742|0|320300|.518233014979270469065855883375483221545|18.05|09-AUG-15 10.00.00.000000 PM
37|1|366|266050|Network|774405236|0|9755|.012596764002251658329438258085331437506|.55|09-AUG-15 10.00.00.000000 PM
37|1|366|284428|Scheduler|516|0|0|0|0|09-AUG-15 10.00.00.000000 PM
37|1|366|266051|Configuration|28967|35.94|120|4.14264507888286671039458694376359305417|.01|09-AUG-15 10.00.00.000000 PM
37|1|366|266049|Concurrency|5703873|0|11827|2.07350338971432218073579127726020547793|.65|09-AUG-15 10.00.00.000000 PM
37|1|366|266052|Administrative|350|100|67|191.428571428571428571428571428571428571|0|09-AUG-15 10.00.00.000000 PM
37|1|364|266044|User I/O|998666599|0|1093183|1.09464259753419469273749086305428744994|44.82|06-AUG-15 08.00.00.000000 AM
37|1|364|266045|Other|91745276|16.5|11376|.123995485064538908793516518496276582132|.47|06-AUG-15 08.00.00.000000 AM
37|1|364|266046|Cluster|717995959|0|298561|.415825460098446041532665506269235144818|12.25|06-AUG-15 08.00.00.000000 AM
37|1|364|266050|Network|927607120|0|10691|.011525353535449361363246112211816571654|.44|06-AUG-15 08.00.00.000000 AM
37|1|364|266047|Application|6545113|19.75|109162|16.6783980658546307756642245901636839578|4.5|06-AUG-15 08.00.00.000000 AM
37|1|364|266051|Configuration|32256|65.06|230|7.13045634920634920634920634920634920635|.01|06-AUG-15 08.00.00.000000 AM
37|1|367|266043|DB CPU|||559074||36.2|10-AUG-15 10.00.00.000000 PM
37|1|367|266049|Concurrency|4272224|0|14420|3.37529118323383792610125311781404720352|.86|10-AUG-15 10.00.00.000000 PM
37|1|367|284428|Scheduler|21747|0|9|.4138501862325838046627120982204441992|0|10-AUG-15 10.00.00.000000 PM
37|1|367|266045|Other|75535794|2|7335|.097106280500606109998658384394556043192|.46|10-AUG-15 10.00.00.000000 PM
37|1|367|266050|Network|733270353|0|9111|.012425158009899794762328267756926482476|.59|10-AUG-15 10.00.00.000000 PM
37|1|367|266051|Configuration|48387|86.81|125|2.58333850001033335400004133341600016533|.01|10-AUG-15 10.00.00.000000 PM
37|1|367|266047|Application|5040795|7|116448|23.1011179784141192014354878545943645794|7.6|10-AUG-15 10.00.00.000000 PM
37|1|367|266048|Commit|10202640|0|15874|1.55587181356982114433127112198411391561|1.03|10-AUG-15 10.00.00.000000 PM
37|1|367|266052|Administrative|135|98.75|22|162.962962962962962962962962962962962963|0|10-AUG-15 10.00.00.000000 PM
37|1|367|266044|User I/O|747425368|0|721542|.965369963198787226606416173982470447805|46.53|10-AUG-15 10.00.00.000000 PM
37|1|367|266046|Cluster|517623560|0|165773|.320257833704478211926829605669417365778|10.7|10-AUG-15 10.00.00.000000 PM
37|1|367|266053|System I/O|550298|0|399|.725061693845879868725672272114381662299|.02|10-AUG-15 10.00.00.000000 PM
37|1|362|266043|DB CPU|||846426||35.52|05-AUG-15 08.00.00.000000 AM
