site_id|config_id|run_id|stat_id|stat_name|stat_rw_persec|stat_r_persec|stat_w_persec|start_time
37|1|9|265456|Redo (MB)|7.54375|2.51875|5.03125|15-OCT-14 08.00.00.000000 AM
37|1|9|265457|Database (blocks)|36268.63125|35244.4|1024.225|15-OCT-14 08.00.00.000000 AM
37|1|9|265458|Via Buffer Cache (blocks)|13633.1875|12694.45|938.75|15-OCT-14 08.00.00.000000 AM
37|1|9|265450|Database Requests|10103.95625|9353.05|750.90625|15-OCT-14 08.00.00.000000 AM
37|1|9|265453|Total (MB)|297.44375|281.79375|15.65625|15-OCT-14 08.00.00.000000 AM
37|1|9|265451|Optimized Requests|9300.96875|9300.96875|0|15-OCT-14 08.00.00.000000 AM
37|1|9|265452|Redo Requests|564.15625|2.5375|561.63125|15-OCT-14 08.00.00.000000 AM
37|1|9|265455|Optimized Total (MB)|253.19375|253.19375|0|15-OCT-14 08.00.00.000000 AM
37|1|9|265449|Total Requests|10717.69375|9395.40625|1322.29375|15-OCT-14 08.00.00.000000 AM
37|1|8|265456|Redo (MB)|7.34375|2.48125|4.875|14-OCT-14 08.00.00.000000 AM
37|1|8|265453|Total (MB)|295.7625|280.36875|15.3875|14-OCT-14 08.00.00.000000 AM
37|1|8|265454|Database (MB)|281.975|274.04375|7.93125|14-OCT-14 08.00.00.000000 AM
37|1|8|265459|Direct (blocks)|22149.2125|22065.05|84.16875|14-OCT-14 08.00.00.000000 AM
37|1|8|265452|Redo Requests|554.49375|2.50625|551.98125|14-OCT-14 08.00.00.000000 AM
37|1|8|265455|Optimized Total (MB)|256.64375|256.64375|0|14-OCT-14 08.00.00.000000 AM
37|1|8|265451|Optimized Requests|9627.99375|9627.9875|0|14-OCT-14 08.00.00.000000 AM
37|1|8|265450|Database Requests|10435.325|9681.2625|754.0625|14-OCT-14 08.00.00.000000 AM
37|1|8|265457|Database (blocks)|36092.8|35077.18125|1015.6125|14-OCT-14 08.00.00.000000 AM
37|1|8|265458|Via Buffer Cache (blocks)|13943.58125|13012.13125|931.45625|14-OCT-14 08.00.00.000000 AM
37|1|8|265449|Total Requests|11037.35625|9721.33125|1316.025|14-OCT-14 08.00.00.000000 AM
37|1|10|265450|Database Requests|11062.70625|10311.65|751.075|16-OCT-14 08.00.00.000000 AM
37|1|10|265458|Via Buffer Cache (blocks)|15361.91875|14439.21875|922.725|16-OCT-14 08.00.00.000000 AM
37|1|10|265455|Optimized Total (MB)|256.275|256.275|0|16-OCT-14 08.00.00.000000 AM
37|1|10|265449|Total Requests|11657.3|10354.4|1302.9|16-OCT-14 08.00.00.000000 AM
37|1|10|265451|Optimized Requests|10246.7125|10246.7125|0|16-OCT-14 08.00.00.000000 AM
37|1|10|265459|Direct (blocks)|22150.425|22069.625|80.80625|16-OCT-14 08.00.00.000000 AM
37|1|10|265452|Redo Requests|544.7625|2.50625|542.24375|16-OCT-14 08.00.00.000000 AM
37|1|10|265457|Database (blocks)|37512.36875|36508.83125|1003.5375|16-OCT-14 08.00.00.000000 AM
37|1|10|265454|Database (MB)|293.0625|285.23125|7.84375|16-OCT-14 08.00.00.000000 AM
37|1|10|265453|Total (MB)|306.64375|291.3625|15.26875|16-OCT-14 08.00.00.000000 AM
37|1|10|265456|Redo (MB)|7.325|2.49375|4.85|16-OCT-14 08.00.00.000000 AM
37|1|17|265450|Database Requests|12025.925|11226.7375|799.19375|27-OCT-14 08.00.00.000000 AM
37|1|17|265453|Total (MB)|296.4375|276.99375|19.44375|27-OCT-14 08.00.00.000000 AM
37|1|17|265451|Optimized Requests|11119.03125|11119.03125|0|27-OCT-14 08.00.00.000000 AM
37|1|17|265452|Redo Requests|603.95|2.74375|601.2|27-OCT-14 08.00.00.000000 AM
37|1|17|265455|Optimized Total (MB)|227.325|227.325|0|27-OCT-14 08.00.00.000000 AM
37|1|17|265458|Via Buffer Cache (blocks)|16417.30625|15422.48125|994.81875|27-OCT-14 08.00.00.000000 AM
37|1|17|265457|Database (blocks)|35720.0125|34632.675|1087.35|27-OCT-14 08.00.00.000000 AM
37|1|17|265449|Total Requests|12673.95625|11262.26875|1411.69375|27-OCT-14 08.00.00.000000 AM
37|1|17|265456|Redo (MB)|8.15|2.7375|5.425|27-OCT-14 08.00.00.000000 AM
37|1|17|265459|Direct (blocks)|19302.7|19210.175|92.53125|27-OCT-14 08.00.00.000000 AM
37|1|17|265454|Database (MB)|279.06875|270.575|8.49375|27-OCT-14 08.00.00.000000 AM
37|1|16|265449|Total Requests|11811.5625|10632.76875|1178.80625|24-OCT-14 08.00.00.000000 AM
37|1|16|265459|Direct (blocks)|18657.68125|18584.575|73.11875|24-OCT-14 08.00.00.000000 AM
37|1|16|265456|Redo (MB)|6.71875|2.28125|4.4625|24-OCT-14 08.00.00.000000 AM
37|1|16|265450|Database Requests|11241.725|10596.31875|645.38125|24-OCT-14 08.00.00.000000 AM
37|1|16|265458|Via Buffer Cache (blocks)|15238.2|14447.875|790.3375|24-OCT-14 08.00.00.000000 AM
37|1|16|265452|Redo Requests|527.4|2.28125|525.11875|24-OCT-14 08.00.00.000000 AM
37|1|16|265454|Database (MB)|264.81875|258.075|6.75|24-OCT-14 08.00.00.000000 AM
37|1|16|265455|Optimized Total (MB)|220.46875|220.46875|0|24-OCT-14 08.00.00.000000 AM
37|1|16|265451|Optimized Requests|10525.275|10525.275|0|24-OCT-14 08.00.00.000000 AM
37|1|16|265457|Database (blocks)|33895.875|33032.43125|863.45|24-OCT-14 08.00.00.000000 AM
37|1|16|265453|Total (MB)|276.98125|263.43125|13.5625|24-OCT-14 08.00.00.000000 AM
37|1|13|265450|Database Requests|11241.5375|10515.01875|726.5|21-OCT-14 08.00.00.000000 AM
37|1|13|265453|Total (MB)|285.225|269.44375|15.79375|21-OCT-14 08.00.00.000000 AM
37|1|13|265454|Database (MB)|271.10625|263.21875|7.9|21-OCT-14 08.00.00.000000 AM
37|1|13|265458|Via Buffer Cache (blocks)|14983.4|14064.13125|919.2875|21-OCT-14 08.00.00.000000 AM
37|1|13|265449|Total Requests|11877.35625|10550.35|1326.9875|21-OCT-14 08.00.00.000000 AM
37|1|13|265452|Redo Requests|594.54375|2.59375|591.94375|21-OCT-14 08.00.00.000000 AM
37|1|13|265456|Redo (MB)|7.8125|2.58125|5.2375|21-OCT-14 08.00.00.000000 AM
37|1|13|265459|Direct (blocks)|19716.56875|19626.175|90.4|21-OCT-14 08.00.00.000000 AM
37|1|13|265451|Optimized Requests|10458.49375|10458.49375|0|21-OCT-14 08.00.00.000000 AM
37|1|13|265455|Optimized Total (MB)|240.0875|240.0875|0|21-OCT-14 08.00.00.000000 AM
37|1|13|265457|Database (blocks)|34699.95625|33690.2875|1009.6875|21-OCT-14 08.00.00.000000 AM
37|1|14|265450|Database Requests|10522.0875|9867.5625|654.51875|22-OCT-14 08.00.00.000000 AM
37|1|14|265455|Optimized Total (MB)|284.63125|284.63125|0|22-OCT-14 08.00.00.000000 AM
37|1|14|265457|Database (blocks)|46790.9125|45880.56875|910.35|22-OCT-14 08.00.00.000000 AM
37|1|14|265449|Total Requests|11126.63125|9902.58125|1224.04375|22-OCT-14 08.00.00.000000 AM
37|1|14|265456|Redo (MB)|7.2375|2.425|4.8125|22-OCT-14 08.00.00.000000 AM
37|1|14|265453|Total (MB)|378.625|364.1875|14.45|22-OCT-14 08.00.00.000000 AM
37|1|14|265454|Database (MB)|365.55625|358.45|7.10625|22-OCT-14 08.00.00.000000 AM
37|1|14|265459|Direct (blocks)|32164.36875|32078.49375|85.88125|22-OCT-14 08.00.00.000000 AM
37|1|14|265451|Optimized Requests|9763.88125|9763.88125|0|22-OCT-14 08.00.00.000000 AM
37|1|14|265452|Redo Requests|563.44375|2.44375|561.0125|22-OCT-14 08.00.00.000000 AM
37|1|14|265458|Via Buffer Cache (blocks)|14626.55625|13802.0875|824.49375|22-OCT-14 08.00.00.000000 AM
37|1|15|265453|Total (MB)|292.825|278.4|14.425|23-OCT-14 08.00.00.000000 AM
37|1|15|265451|Optimized Requests|11072.00625|11072.00625|0|23-OCT-14 08.00.00.000000 AM
37|1|15|265449|Total Requests|12410.26875|11167.53125|1242.75625|23-OCT-14 08.00.00.000000 AM
37|1|15|265452|Redo Requests|556.4375|2.43125|554.00625|23-OCT-14 08.00.00.000000 AM
37|1|15|265458|Via Buffer Cache (blocks)|16787.475|15942.175|845.29375|23-OCT-14 08.00.00.000000 AM
37|1|15|265450|Database Requests|11811.675|11131.725|679.95625|23-OCT-14 08.00.00.000000 AM
37|1|15|265455|Optimized Total (MB)|244.59375|244.59375|0|23-OCT-14 08.00.00.000000 AM
37|1|15|265457|Database (blocks)|35822.8|34901.76875|921.03125|23-OCT-14 08.00.00.000000 AM
