site_id|config_id|run_id|stat_id|stat_name|stat_alloc|stat_used|stat_avg_alloc|stat_num_proc|stat_num_alloc|start_time
37|1|14|266688|PL/SQL|3207.421875|38.128125|3.960625|810.3125|809.3125|22-OCT-14 08.00.00.000000 AM
37|1|14|266687|Other|24357.78375||30.065|810.3125|810.3125|22-OCT-14 08.00.00.000000 AM
37|1|14|266691|SQL|430.48625|26.5925|.5725|751|740.5625|22-OCT-14 08.00.00.000000 AM
37|1|14|266689|Freeable|2208.5625|0|2.9875|739.25|739.25|22-OCT-14 08.00.00.000000 AM
37|1|14|266690|JAVA|1118.37|1087.03125|3.4975|319.75|319.75|22-OCT-14 08.00.00.000000 AM
37|1|15|266687|Other|25009.578125||29.0725|860.4375|860.4375|23-OCT-14 08.00.00.000000 AM
37|1|15|266689|Freeable|2238.6625|0|2.90625|770.0625|770.0625|23-OCT-14 08.00.00.000000 AM
37|1|15|266691|SQL|426.85875|31.19|.533125|801.3125|790.6875|23-OCT-14 08.00.00.000000 AM
37|1|15|266688|PL/SQL|3240.794375|40.96|3.7675|860.4375|859.3125|23-OCT-14 08.00.00.000000 AM
37|1|15|266690|JAVA|1143.595|1100.88625|3.54375|322.75|322.75|23-OCT-14 08.00.00.000000 AM
37|1|21|266687|Other|21355.45625||25.75375|829.4375|829.4375|31-OCT-14 08.00.00.000000 AM
37|1|21|266689|Freeable|2134.609375|0|2.838125|751.875|751.875|31-OCT-14 08.00.00.000000 AM
37|1|21|266690|JAVA|968.515|948.161875|3.334375|290.5|290.5|31-OCT-14 08.00.00.000000 AM
37|1|21|266691|SQL|424.29375|24.849375|.55|770.5|759.0625|31-OCT-14 08.00.00.000000 AM
37|1|21|266688|PL/SQL|2875.774375|139.6575|3.468125|829.4375|828.4375|31-OCT-14 08.00.00.000000 AM
37|1|19|266691|SQL|432.55375|29.51375|.574375|753.875|742.75|29-OCT-14 08.00.00.000000 AM
37|1|19|266690|JAVA|1224.375|1128.429375|3.69375|331.375|331.375|29-OCT-14 08.00.00.000000 AM
37|1|19|266688|PL/SQL|3271.94375|36.22125|4.026875|812.75|811.25|29-OCT-14 08.00.00.000000 AM
37|1|19|266687|Other|26924.26125||33.135|812.75|812.75|29-OCT-14 08.00.00.000000 AM
37|1|19|266689|Freeable|2395.06375|0|3.2|748.375|748.375|29-OCT-14 08.00.00.000000 AM
37|1|18|266687|Other|26369.24125||32.455|812.8125|812.8125|28-OCT-14 08.00.00.000000 AM
37|1|18|266688|PL/SQL|3229.870625|41.488125|3.974375|812.8125|811.6875|28-OCT-14 08.00.00.000000 AM
37|1|18|266689|Freeable|2375.31|0|3.180625|746.9375|746.9375|28-OCT-14 08.00.00.000000 AM
37|1|18|266690|JAVA|1201.70375|1120.86375|3.65625|328.6875|328.6875|28-OCT-14 08.00.00.000000 AM
37|1|18|266691|SQL|409.591875|44.049375|.5425|754|743.125|28-OCT-14 08.00.00.000000 AM
37|1|20|266689|Freeable|2483.469375|0|3.218125|771.5625|771.5625|30-OCT-14 08.00.00.000000 AM
37|1|20|266691|SQL|433.466875|36.74625|.549375|789.4375|778.5|30-OCT-14 08.00.00.000000 AM
37|1|20|266687|Other|27456.45||32.37625|848.3125|848.3125|30-OCT-14 08.00.00.000000 AM
37|1|20|266688|PL/SQL|3301.831875|37.530625|3.893125|848.3125|847.3125|30-OCT-14 08.00.00.000000 AM
37|1|20|266690|JAVA|1248.4675|1136.77625|3.73125|334.5625|334.5625|30-OCT-14 08.00.00.000000 AM
37|1|22|266687|Other|22311.1925||27.1725|821.3125|821.3125|03-NOV-14 08.00.00.000000 AM
37|1|22|266688|PL/SQL|2986.885|131.325625|3.636875|821.3125|820.1875|03-NOV-14 08.00.00.000000 AM
37|1|22|266690|JAVA|983.5675|965.704375|3.245|303.125|303.125|03-NOV-14 08.00.00.000000 AM
37|1|22|266691|SQL|412.099375|29.203125|.54125|763.25|752.0625|03-NOV-14 08.00.00.000000 AM
37|1|22|266689|Freeable|2136.69375|0|2.9325|728.8125|728.8125|03-NOV-14 08.00.00.000000 AM
37|1|24|266689|Freeable|2222.403125|0|2.980625|745.4375|745.4375|05-NOV-14 08.00.00.000000 AM
37|1|24|266688|PL/SQL|3133.778125|50.27625|3.86875|810.4375|809.3125|05-NOV-14 08.00.00.000000 AM
37|1|24|266687|Other|24721.609375||30.50875|810.4375|810.4375|05-NOV-14 08.00.00.000000 AM
37|1|24|266691|SQL|427.875625|27.675|.56875|752.5|741.5|05-NOV-14 08.00.00.000000 AM
37|1|24|266690|JAVA|1089.735|1068.33375|3.450625|315.75|315.75|05-NOV-14 08.00.00.000000 AM
37|1|25|266690|JAVA|1119.155|1093.866875|3.500625|319.625|319.625|06-NOV-14 08.00.00.000000 AM
37|1|25|266691|SQL|424.548125|33.313125|.54125|785.125|774.5|06-NOV-14 08.00.00.000000 AM
37|1|25|266687|Other|25157.615625||29.84625|843.1875|843.1875|06-NOV-14 08.00.00.000000 AM
37|1|25|266688|PL/SQL|3167.026875|36.924375|3.7575|843.1875|842.5|06-NOV-14 08.00.00.000000 AM
37|1|25|266689|Freeable|2287.89625|0|2.975|768.8125|768.8125|06-NOV-14 08.00.00.000000 AM
37|1|23|266689|Freeable|2109.13875|0|2.855|738.5625|738.5625|04-NOV-14 08.00.00.000000 AM
