site_id|config_id|run_id|stat_id|stat_pool|stat_name|stat_begin_mb|stat_end_mb|stat_diff_pct|start_time
37|1|7|266721|Other|buffer_cache|9552|9552|0|13-OCT-14 08.00.00.000000 AM
37|1|7|267355|shared|ges resource|128.28|128.28|0|13-OCT-14 08.00.00.000000 AM
37|1|7|266702|java|free memory|358.49|358.49|0|13-OCT-14 08.00.00.000000 AM
37|1|7|266707|shared|FileOpenBlock|759.16|759.16|0|13-OCT-14 08.00.00.000000 AM
37|1|7|266709|shared|KKSSP|190.94|192.55|.84|13-OCT-14 08.00.00.000000 AM
37|1|7|266712|shared|db_block_hash_buckets|89|89|0|13-OCT-14 08.00.00.000000 AM
37|1|7|266705|shared|ASM extent pointer array|1315.32|1315.31|0|13-OCT-14 08.00.00.000000 AM
37|1|7|266710|shared|KTSL subheap|892.37|892.37|0|13-OCT-14 08.00.00.000000 AM
37|1|7|266713|shared|free memory|275.87|259.84|-4.87|13-OCT-14 08.00.00.000000 AM
37|1|7|267158|shared|KGLHD|37.1|93.24|6000001.61|13-OCT-14 08.00.00.000000 AM
37|1|7|266711|shared|SQLA|1327.17|1291.79|-2.6|13-OCT-14 08.00.00.000000 AM
37|1|7|266720|streams|free memory|392|392|0|13-OCT-14 08.00.00.000000 AM
37|1|7|268208|shared|kglsim object batch|94.62|94.74|.12|13-OCT-14 08.00.00.000000 AM
37|1|7|266708|shared|KGLH0|897.04|942.04|5.11|13-OCT-14 08.00.00.000000 AM
37|1|7|266714|shared|gcs dynamic s|131.07|131.07|0|13-OCT-14 08.00.00.000000 AM
37|1|7|267290|shared|SQLP|55.79|94.38|4999995.12|13-OCT-14 08.00.00.000000 AM
37|1|7|266701|java|JOXLE|24.72|24.72|.01|13-OCT-14 08.00.00.000000 AM
37|1|7|266722|Other|fixed_sga|2.16|2.16|0|13-OCT-14 08.00.00.000000 AM
37|1|7|266723|Other|log_buffer|60.11|60.11|0|13-OCT-14 08.00.00.000000 AM
37|1|7|266706|shared|Checkpoint queue|210.95|210.95|0|13-OCT-14 08.00.00.000000 AM
37|1|7|266716|shared|gcs shadows|195.59|195.59|0|13-OCT-14 08.00.00.000000 AM
37|1|7|266718|shared|init_heap_kfsg|194.94|194.97|.02|13-OCT-14 08.00.00.000000 AM
37|1|7|266719|shared|kcbi io desc slot|347.46|350.24|.8|13-OCT-14 08.00.00.000000 AM
37|1|7|266703|large|free memory|383.63|383.63|0|13-OCT-14 08.00.00.000000 AM
37|1|7|266704|shared|ASH buffers|254|254|0|13-OCT-14 08.00.00.000000 AM
37|1|11|266722|Other|fixed_sga|2.16|2.16|0|17-OCT-14 08.00.00.000000 AM
37|1|11|268208|shared|kglsim object batch|98.51|98.64|.13|17-OCT-14 08.00.00.000000 AM
37|1|11|266701|java|JOXLE|24.45|24.45|0|17-OCT-14 08.00.00.000000 AM
37|1|11|266703|large|free memory|383.63|383.63|0|17-OCT-14 08.00.00.000000 AM
37|1|11|266705|shared|ASM extent pointer array|1315.32|1315.32|0|17-OCT-14 08.00.00.000000 AM
37|1|11|266707|shared|FileOpenBlock|755.3|755.3|0|17-OCT-14 08.00.00.000000 AM
37|1|11|266710|shared|KTSL subheap|893.3|893.3|0|17-OCT-14 08.00.00.000000 AM
37|1|11|266720|streams|free memory|392|392|0|17-OCT-14 08.00.00.000000 AM
37|1|11|266723|Other|log_buffer|60.11|60.11|0|17-OCT-14 08.00.00.000000 AM
37|1|11|266708|shared|KGLH0|895.36|933.08|4.28|17-OCT-14 08.00.00.000000 AM
37|1|11|266714|shared|gcs dynamic s|131.07|131.07|0|17-OCT-14 08.00.00.000000 AM
37|1|11|266702|java|free memory|358.78|358.78|0|17-OCT-14 08.00.00.000000 AM
37|1|11|266704|shared|ASH buffers|254|254|0|17-OCT-14 08.00.00.000000 AM
37|1|11|266716|shared|gcs shadows|195.59|195.59|0|17-OCT-14 08.00.00.000000 AM
37|1|11|266719|shared|kcbi io desc slot|371.45|371.52|.02|17-OCT-14 08.00.00.000000 AM
37|1|11|267158|shared|KGLHD|44.06|94.38|5384616.52|17-OCT-14 08.00.00.000000 AM
37|1|11|267290|shared|SQLP|42.56|94.52|5999998.58|17-OCT-14 08.00.00.000000 AM
37|1|11|267355|shared|ges resource|128.33|128.33|0|17-OCT-14 08.00.00.000000 AM
37|1|11|266706|shared|Checkpoint queue|210.95|210.95|0|17-OCT-14 08.00.00.000000 AM
37|1|11|266709|shared|KKSSP|206.45|207.14|.33|17-OCT-14 08.00.00.000000 AM
37|1|11|266711|shared|SQLA|1329.82|1298.67|-2.34|17-OCT-14 08.00.00.000000 AM
37|1|11|266717|shared|ges enqueues|140.28|140.28|0|17-OCT-14 08.00.00.000000 AM
37|1|11|266712|shared|db_block_hash_buckets|89|89|0|17-OCT-14 08.00.00.000000 AM
37|1|11|266713|shared|free memory|261|253.86|-1.09|17-OCT-14 08.00.00.000000 AM
37|1|11|266718|shared|init_heap_kfsg|192.92|192.96|.02|17-OCT-14 08.00.00.000000 AM
37|1|11|266721|Other|buffer_cache|9552|9552|0|17-OCT-14 08.00.00.000000 AM
37|1|11|266715|shared|gcs resources|282.51|282.51|0|17-OCT-14 08.00.00.000000 AM
37|1|12|266716|shared|gcs shadows|195.59|195.59|0|20-OCT-14 08.00.00.000000 AM
37|1|12|266717|shared|ges enqueues|144.9|144.91|.01|20-OCT-14 08.00.00.000000 AM
