site_id|config_id|run_id|stat_id|stat_name|stat_alloc|stat_used|stat_avg_alloc|stat_num_proc|stat_num_alloc|start_time
37|1|16|266694|Freeable|2402.458125|0|3.134375|766.625|766.625|24-OCT-14 08.00.00.000000 AM
37|1|16|266695|JAVA|1153.008125|1093.681875|3.5625|323.625|323.625|24-OCT-14 08.00.00.000000 AM
37|1|16|266693|PL/SQL|3272.53875|36.58125|3.876875|844.0625|843.625|24-OCT-14 08.00.00.000000 AM
37|1|13|266695|JAVA|1096.55125|1074.159375|3.46125|316.8125|316.8125|21-OCT-14 08.00.00.000000 AM
37|1|13|266696|SQL|428.925625|32.215625|.564375|759.5|749.1875|21-OCT-14 08.00.00.000000 AM
37|1|13|266692|Other|25788.66125||31.488125|818.9375|818.9375|21-OCT-14 08.00.00.000000 AM
37|1|13|266693|PL/SQL|3158.434375|43.86875|3.859375|818.9375|818.3125|21-OCT-14 08.00.00.000000 AM
37|1|13|266694|Freeable|2231.57125|0|3.045625|732.625|732.625|21-OCT-14 08.00.00.000000 AM
37|1|14|266692|Other|26365.4525||32.531875|810.5|810.5|22-OCT-14 08.00.00.000000 AM
37|1|14|266693|PL/SQL|3224.623125|35.81625|3.98|810.5|809.5625|22-OCT-14 08.00.00.000000 AM
37|1|14|266694|Freeable|2275.638125|0|3.0775|739.5|739.5|22-OCT-14 08.00.00.000000 AM
37|1|14|266695|JAVA|1122.5225|1090.12|3.505625|320.1875|320.1875|22-OCT-14 08.00.00.000000 AM
37|1|14|266696|SQL|428.7125|26.23375|.570625|751|740.6875|22-OCT-14 08.00.00.000000 AM
37|1|15|266693|PL/SQL|3252.545|34.69875|3.936875|826.125|825.125|23-OCT-14 08.00.00.000000 AM
37|1|15|266696|SQL|419.843125|27.380625|.546875|767|756.25|23-OCT-14 08.00.00.000000 AM
37|1|15|266694|Freeable|2287.470625|0|3.05|749.875|749.875|23-OCT-14 08.00.00.000000 AM
37|1|15|266695|JAVA|1142.868125|1097.944375|3.543125|322.625|322.625|23-OCT-14 08.00.00.000000 AM
37|1|15|266692|Other|26710.434375||32.339375|826.125|826.125|23-OCT-14 08.00.00.000000 AM
37|1|21|266695|JAVA|1008.24125|986.753125|3.395|297.0625|297.0625|31-OCT-14 08.00.00.000000 AM
37|1|21|266692|Other|23361.43625||28.701875|814.1875|814.1875|31-OCT-14 08.00.00.000000 AM
37|1|21|266696|SQL|415.885625|29.148125|.550625|755.375|744.625|31-OCT-14 08.00.00.000000 AM
37|1|21|266693|PL/SQL|2948.894375|124.74|3.6225|814.1875|813.375|31-OCT-14 08.00.00.000000 AM
37|1|21|266694|Freeable|2166.364375|0|2.93125|739.1875|739.1875|31-OCT-14 08.00.00.000000 AM
37|1|19|266695|JAVA|1231.44625|1133.63125|3.701875|332.4375|332.4375|29-OCT-14 08.00.00.000000 AM
37|1|19|266692|Other|29032.646875||35.69625|813.5|813.5|29-OCT-14 08.00.00.000000 AM
37|1|19|266694|Freeable|2498.98125|0|3.3325|749.625|749.625|29-OCT-14 08.00.00.000000 AM
37|1|19|266693|PL/SQL|3297.526875|35.700625|4.055|813.5|813.4375|29-OCT-14 08.00.00.000000 AM
37|1|19|266696|SQL|432.731875|34.714375|.574375|754.625|743.25|29-OCT-14 08.00.00.000000 AM
37|1|18|266694|Freeable|2446.344375|0|3.273125|747.25|747.25|28-OCT-14 08.00.00.000000 AM
37|1|18|266693|PL/SQL|3252.570625|36.685625|3.995|814.375|813.875|28-OCT-14 08.00.00.000000 AM
37|1|18|266692|Other|28505.978125||35.015625|814.375|814.375|28-OCT-14 08.00.00.000000 AM
