site_id|config_id|run_id|stat_id|stat_name|stat_read_data|stat_req_per_sec_r|stat_data_per_sec_r|stat_write_data|stat_req_per_sec_w|stat_data_per_sec_w|stat_wait_cnt|stat_avg_tm|start_time
37|1|3|266327|Direct Writes|83912500|1.21|11656.25|425625000|22.61|60531.25|26.6875|8.9456|07-OCT-14 08.00.00.000000 AM
37|1|3|266329|Streams AQ|21428.5714285714285714285714285714285714|0|0|0|0|0|22.5714285714285714285714285714285714286|4.8907|07-OCT-14 08.00.00.000000 AM
37|1|5|266318|Others (Control File)|863125000|33.19|122600|64475000|5.73|8956.25|96275|.5475|09-OCT-14 08.00.00.000000 AM
37|1|5|266322|DBWR|25000|0|0|4918125000|701.65|699462.5|26.9375|.5019|09-OCT-14 08.00.00.000000 AM
37|1|5|266328|Direct Writes (Data File)|51637500|.74|7162.5|451875000|17.98|64225|29|10.7719|09-OCT-14 08.00.00.000000 AM
37|1|5|266330|Streams AQ (Data File)|12500|0|0|0|0|0|19.625|6.1688|09-OCT-14 08.00.00.000000 AM
37|1|5|266314|Direct Reads (Data File)|17261250000|280.08|2454625|5381250|.61|750|117.9375|1.6525|09-OCT-14 08.00.00.000000 AM
37|1|5|266317|Others (Log File)|1804375000|2.58|256537.5|0|0|0|18600|12.6913|09-OCT-14 08.00.00.000000 AM
37|1|5|266321|Smart Scan (Data File)|98402500000|151.33|217403.01|0|0|0|0||09-OCT-14 08.00.00.000000 AM
37|1|5|266323|DBWR (Data File)|25000|0|0|4918125000|701.65|699462.5|26.9375|.5019|09-OCT-14 08.00.00.000000 AM
37|1|5|266319|Others (Data File)|305625000|10.32|43737.5|34281250|5.7|4756.25|55331.25|.8994|09-OCT-14 08.00.00.000000 AM
37|1|5|266331|TOTAL|209375000000|11239.16|1083856.37|10898125000|1280.96|1549962.5|6539375|.3813|09-OCT-14 08.00.00.000000 AM
37|1|5|266312|Buffer Cache Reads (Data File)|91823750000|10758.3|2509167.99|0|0|0|6520625|.3769|09-OCT-14 08.00.00.000000 AM
37|1|5|266326|LGWR (Control File)|262500|.02|0|337500|.03|37.5|172.5625|.4056|09-OCT-14 08.00.00.000000 AM
37|1|5|266329|Streams AQ|12500|0|0|0|0|0|19.625|6.1688|09-OCT-14 08.00.00.000000 AM
37|1|5|266313|Direct Reads|17261250000|280.08|2454625|5381250|.61|750|117.9375|1.6525|09-OCT-14 08.00.00.000000 AM
37|1|5|266316|Others (Archive Log)|1818125000|2.59|258568.75|1804375000|2.57|256531.25|0||09-OCT-14 08.00.00.000000 AM
37|1|5|266324|LGWR|262500|.03|0|3623750000|546.72|515306.25|254.5625|1.0994|09-OCT-14 08.00.00.000000 AM
37|1|5|266327|Direct Writes|51637500|.74|7162.5|451875000|17.98|64225|29|10.7719|09-OCT-14 08.00.00.000000 AM
37|1|5|266315|Others|4792500000|48.68|681450|1900000000|14|270243.75|170181.25|2.0225|09-OCT-14 08.00.00.000000 AM
37|1|5|266325|LGWR (Log File)|0|.01|0|3622500000|546.69|515250|82|2.5663|09-OCT-14 08.00.00.000000 AM
37|1|5|266311|Buffer Cache Reads|91823750000|10758.3|2509167.99|0|0|0|6520625|.3769|09-OCT-14 08.00.00.000000 AM
37|1|5|266320|Smart Scan|98402500000|151.33|217403.01|0|0|0|0||09-OCT-14 08.00.00.000000 AM
37|1|7|266322|DBWR|31250|0|0|5190625000|742.96|738475|31.1875|.1593|13-OCT-14 08.00.00.000000 AM
