site_id|config_id|run_id|stat_id|stat_name|stat_total|start_time
37|1|7|266474|Disk Read Results|163428417|13-OCT-14 08.00.00.000000 AM
37|1|7|266477|Fairness Clears|1539264|13-OCT-14 08.00.00.000000 AM
37|1|7|266480|Flushes Queued|0|13-OCT-14 08.00.00.000000 AM
37|1|7|266483|Light Works|3177578|13-OCT-14 08.00.00.000000 AM
37|1|7|266478|Free GC Elements|0|13-OCT-14 08.00.00.000000 AM
37|1|7|266469|Undo Block Requests|898248|13-OCT-14 08.00.00.000000 AM
37|1|7|266482|Flush Max Time (us)|0|13-OCT-14 08.00.00.000000 AM
37|1|7|266466|CR Block Requests|42530074|13-OCT-14 08.00.00.000000 AM
37|1|7|266467|CURRENT Block Requests|186122593|13-OCT-14 08.00.00.000000 AM
37|1|7|266471|Current Results|62883260|13-OCT-14 08.00.00.000000 AM
37|1|7|266476|Fairness Down Converts|19212530|13-OCT-14 08.00.00.000000 AM
37|1|7|266470|TX Block Requests|4738807|13-OCT-14 08.00.00.000000 AM
37|1|7|266473|Zero Results|2037458|13-OCT-14 08.00.00.000000 AM
37|1|7|266484|Errors|0|13-OCT-14 08.00.00.000000 AM
37|1|7|266472|Private results|187823|13-OCT-14 08.00.00.000000 AM
37|1|7|266475|Fail Results|88134|13-OCT-14 08.00.00.000000 AM
37|1|7|266479|Flushes|3094550|13-OCT-14 08.00.00.000000 AM
37|1|7|266481|Flush Queue Full|0|13-OCT-14 08.00.00.000000 AM
37|1|11|266467|CURRENT Block Requests|172094336|17-OCT-14 08.00.00.000000 AM
37|1|11|266471|Current Results|57481561|17-OCT-14 08.00.00.000000 AM
37|1|11|266473|Zero Results|2045757|17-OCT-14 08.00.00.000000 AM
37|1|11|266477|Fairness Clears|1419419|17-OCT-14 08.00.00.000000 AM
37|1|11|266480|Flushes Queued|0|17-OCT-14 08.00.00.000000 AM
37|1|11|266481|Flush Queue Full|0|17-OCT-14 08.00.00.000000 AM
37|1|11|266484|Errors|0|17-OCT-14 08.00.00.000000 AM
37|1|11|266468|Data Block Requests|39660824|17-OCT-14 08.00.00.000000 AM
37|1|11|266482|Flush Max Time (us)|0|17-OCT-14 08.00.00.000000 AM
37|1|11|266483|Light Works|1898442|17-OCT-14 08.00.00.000000 AM
37|1|11|266478|Free GC Elements|0|17-OCT-14 08.00.00.000000 AM
37|1|11|266466|CR Block Requests|39653615|17-OCT-14 08.00.00.000000 AM
37|1|11|266470|TX Block Requests|4371023|17-OCT-14 08.00.00.000000 AM
37|1|11|266474|Disk Read Results|151994272|17-OCT-14 08.00.00.000000 AM
37|1|11|266469|Undo Block Requests|628069|17-OCT-14 08.00.00.000000 AM
37|1|11|266472|Private results|166215|17-OCT-14 08.00.00.000000 AM
37|1|11|266475|Fail Results|42789|17-OCT-14 08.00.00.000000 AM
37|1|11|266476|Fairness Down Converts|19487849|17-OCT-14 08.00.00.000000 AM
37|1|11|266479|Flushes|2686391|17-OCT-14 08.00.00.000000 AM
37|1|12|266466|CR Block Requests|44913037|20-OCT-14 08.00.00.000000 AM
37|1|12|266467|CURRENT Block Requests|224059184|20-OCT-14 08.00.00.000000 AM
37|1|12|266477|Fairness Clears|1670034|20-OCT-14 08.00.00.000000 AM
37|1|12|266484|Errors|0|20-OCT-14 08.00.00.000000 AM
37|1|12|266468|Data Block Requests|44918664|20-OCT-14 08.00.00.000000 AM
37|1|12|266479|Flushes|3321538|20-OCT-14 08.00.00.000000 AM
37|1|12|266469|Undo Block Requests|876314|20-OCT-14 08.00.00.000000 AM
37|1|12|266472|Private results|179361|20-OCT-14 08.00.00.000000 AM
37|1|12|266480|Flushes Queued|0|20-OCT-14 08.00.00.000000 AM
37|1|12|266470|TX Block Requests|6089790|20-OCT-14 08.00.00.000000 AM
37|1|12|266471|Current Results|59285050|20-OCT-14 08.00.00.000000 AM
37|1|12|266481|Flush Queue Full|0|20-OCT-14 08.00.00.000000 AM
37|1|12|266482|Flush Max Time (us)|0|20-OCT-14 08.00.00.000000 AM
37|1|12|266474|Disk Read Results|207018152|20-OCT-14 08.00.00.000000 AM
37|1|12|266476|Fairness Down Converts|19664453|20-OCT-14 08.00.00.000000 AM
37|1|12|266478|Free GC Elements|0|20-OCT-14 08.00.00.000000 AM
37|1|12|266475|Fail Results|69211|20-OCT-14 08.00.00.000000 AM
37|1|12|266483|Light Works|1807681|20-OCT-14 08.00.00.000000 AM
37|1|12|266473|Zero Results|2406299|20-OCT-14 08.00.00.000000 AM
37|1|9|266470|TX Block Requests|5151135|15-OCT-14 08.00.00.000000 AM
37|1|9|266474|Disk Read Results|113991636|15-OCT-14 08.00.00.000000 AM
37|1|9|266471|Current Results|64367367|15-OCT-14 08.00.00.000000 AM
37|1|9|266477|Fairness Clears|1541632|15-OCT-14 08.00.00.000000 AM
37|1|9|266483|Light Works|2869518|15-OCT-14 08.00.00.000000 AM
37|1|9|266476|Fairness Down Converts|20733252|15-OCT-14 08.00.00.000000 AM
37|1|9|266479|Flushes|3180744|15-OCT-14 08.00.00.000000 AM
37|1|9|266467|CURRENT Block Requests|137416525|15-OCT-14 08.00.00.000000 AM
37|1|9|266468|Data Block Requests|43560683|15-OCT-14 08.00.00.000000 AM
37|1|9|266472|Private results|214531|15-OCT-14 08.00.00.000000 AM
37|1|9|266473|Zero Results|2281200|15-OCT-14 08.00.00.000000 AM
37|1|9|266480|Flushes Queued|0|15-OCT-14 08.00.00.000000 AM
37|1|9|266466|CR Block Requests|43556242|15-OCT-14 08.00.00.000000 AM
37|1|9|266469|Undo Block Requests|789180|15-OCT-14 08.00.00.000000 AM
37|1|9|266481|Flush Queue Full|0|15-OCT-14 08.00.00.000000 AM
37|1|9|266484|Errors|0|15-OCT-14 08.00.00.000000 AM
37|1|9|266475|Fail Results|95740|15-OCT-14 08.00.00.000000 AM
37|1|9|266478|Free GC Elements|0|15-OCT-14 08.00.00.000000 AM
37|1|9|266482|Flush Max Time (us)|0|15-OCT-14 08.00.00.000000 AM
37|1|8|266471|Current Results|63687401|14-OCT-14 08.00.00.000000 AM
37|1|8|266472|Private results|177808|14-OCT-14 08.00.00.000000 AM
37|1|8|266473|Zero Results|2057811|14-OCT-14 08.00.00.000000 AM
37|1|8|266474|Disk Read Results|162549601|14-OCT-14 08.00.00.000000 AM
37|1|8|266479|Flushes|2977533|14-OCT-14 08.00.00.000000 AM
37|1|8|266480|Flushes Queued|0|14-OCT-14 08.00.00.000000 AM
37|1|8|266468|Data Block Requests|43071140|14-OCT-14 08.00.00.000000 AM
37|1|8|266477|Fairness Clears|1528743|14-OCT-14 08.00.00.000000 AM
37|1|8|266482|Flush Max Time (us)|0|14-OCT-14 08.00.00.000000 AM
37|1|8|266476|Fairness Down Converts|20838299|14-OCT-14 08.00.00.000000 AM
37|1|8|266483|Light Works|2254195|14-OCT-14 08.00.00.000000 AM
37|1|8|266467|CURRENT Block Requests|185467543|14-OCT-14 08.00.00.000000 AM
37|1|8|266470|TX Block Requests|4625254|14-OCT-14 08.00.00.000000 AM
37|1|8|266466|CR Block Requests|43066820|14-OCT-14 08.00.00.000000 AM
37|1|8|266469|Undo Block Requests|683003|14-OCT-14 08.00.00.000000 AM
37|1|8|266475|Fail Results|52790|14-OCT-14 08.00.00.000000 AM
37|1|8|266478|Free GC Elements|0|14-OCT-14 08.00.00.000000 AM
37|1|8|266481|Flush Queue Full|0|14-OCT-14 08.00.00.000000 AM
37|1|8|266484|Errors|0|14-OCT-14 08.00.00.000000 AM
37|1|10|266466|CR Block Requests|41618204|16-OCT-14 08.00.00.000000 AM
37|1|10|266480|Flushes Queued|0|16-OCT-14 08.00.00.000000 AM
37|1|10|266473|Zero Results|1943488|16-OCT-14 08.00.00.000000 AM
37|1|10|266478|Free GC Elements|0|16-OCT-14 08.00.00.000000 AM
37|1|10|266483|Light Works|2820757|16-OCT-14 08.00.00.000000 AM
37|1|10|266468|Data Block Requests|41623676|16-OCT-14 08.00.00.000000 AM
37|1|10|266470|TX Block Requests|4553236|16-OCT-14 08.00.00.000000 AM
37|1|10|266471|Current Results|59302689|16-OCT-14 08.00.00.000000 AM
37|1|10|266479|Flushes|2558013|16-OCT-14 08.00.00.000000 AM
37|1|10|266484|Errors|0|16-OCT-14 08.00.00.000000 AM
37|1|10|266474|Disk Read Results|159198384|16-OCT-14 08.00.00.000000 AM
37|1|10|266469|Undo Block Requests|644578|16-OCT-14 08.00.00.000000 AM
37|1|10|266475|Fail Results|43324|16-OCT-14 08.00.00.000000 AM
37|1|10|266477|Fairness Clears|1480832|16-OCT-14 08.00.00.000000 AM
37|1|10|266472|Private results|157656|16-OCT-14 08.00.00.000000 AM
37|1|10|266467|CURRENT Block Requests|179043210|16-OCT-14 08.00.00.000000 AM
37|1|10|266481|Flush Queue Full|0|16-OCT-14 08.00.00.000000 AM
37|1|10|266476|Fairness Down Converts|18863779|16-OCT-14 08.00.00.000000 AM
37|1|10|266482|Flush Max Time (us)|0|16-OCT-14 08.00.00.000000 AM
37|1|17|266466|CR Block Requests|48162577|27-OCT-14 08.00.00.000000 AM
37|1|17|266470|TX Block Requests|4573494|27-OCT-14 08.00.00.000000 AM
37|1|17|266475|Fail Results|83448|27-OCT-14 08.00.00.000000 AM
37|1|17|266478|Free GC Elements|0|27-OCT-14 08.00.00.000000 AM
37|1|17|266481|Flush Queue Full|0|27-OCT-14 08.00.00.000000 AM
37|1|17|266469|Undo Block Requests|791360|27-OCT-14 08.00.00.000000 AM
37|1|17|266479|Flushes|3137421|27-OCT-14 08.00.00.000000 AM
37|1|17|266471|Current Results|65770279|27-OCT-14 08.00.00.000000 AM
37|1|17|266473|Zero Results|2329541|27-OCT-14 08.00.00.000000 AM
37|1|17|266477|Fairness Clears|1673558|27-OCT-14 08.00.00.000000 AM
37|1|17|266476|Fairness Down Converts|19835725|27-OCT-14 08.00.00.000000 AM
37|1|17|266482|Flush Max Time (us)|0|27-OCT-14 08.00.00.000000 AM
37|1|17|266483|Light Works|2846293|27-OCT-14 08.00.00.000000 AM
37|1|17|266468|Data Block Requests|48167633|27-OCT-14 08.00.00.000000 AM
37|1|17|266472|Private results|153598|27-OCT-14 08.00.00.000000 AM
37|1|17|266480|Flushes Queued|0|27-OCT-14 08.00.00.000000 AM
37|1|17|266484|Errors|0|27-OCT-14 08.00.00.000000 AM
37|1|17|266467|CURRENT Block Requests|196123471|27-OCT-14 08.00.00.000000 AM
37|1|17|266474|Disk Read Results|175917232|27-OCT-14 08.00.00.000000 AM
37|1|16|266471|Current Results|55708776|24-OCT-14 08.00.00.000000 AM
37|1|16|266473|Zero Results|2134359|24-OCT-14 08.00.00.000000 AM
37|1|16|266477|Fairness Clears|1403108|24-OCT-14 08.00.00.000000 AM
37|1|16|266472|Private results|100377|24-OCT-14 08.00.00.000000 AM
37|1|16|266474|Disk Read Results|202874112|24-OCT-14 08.00.00.000000 AM
37|1|16|266484|Errors|0|24-OCT-14 08.00.00.000000 AM
37|1|16|266466|CR Block Requests|39536166|24-OCT-14 08.00.00.000000 AM
37|1|16|266475|Fail Results|96442|24-OCT-14 08.00.00.000000 AM
37|1|16|266478|Free GC Elements|0|24-OCT-14 08.00.00.000000 AM
37|1|16|266468|Data Block Requests|39541768|24-OCT-14 08.00.00.000000 AM
37|1|16|266470|TX Block Requests|4767481|24-OCT-14 08.00.00.000000 AM
37|1|16|266481|Flush Queue Full|0|24-OCT-14 08.00.00.000000 AM
37|1|16|266482|Flush Max Time (us)|0|24-OCT-14 08.00.00.000000 AM
37|1|16|266467|CURRENT Block Requests|221402913|24-OCT-14 08.00.00.000000 AM
37|1|16|266476|Fairness Down Converts|17054185|24-OCT-14 08.00.00.000000 AM
37|1|16|266479|Flushes|3054036|24-OCT-14 08.00.00.000000 AM
37|1|16|266480|Flushes Queued|0|24-OCT-14 08.00.00.000000 AM
37|1|16|266483|Light Works|1905768|24-OCT-14 08.00.00.000000 AM
37|1|16|266469|Undo Block Requests|754372|24-OCT-14 08.00.00.000000 AM
37|1|13|266466|CR Block Requests|45856100|21-OCT-14 08.00.00.000000 AM
37|1|13|266472|Private results|153773|21-OCT-14 08.00.00.000000 AM
37|1|13|266478|Free GC Elements|0|21-OCT-14 08.00.00.000000 AM
37|1|13|266483|Light Works|1923239|21-OCT-14 08.00.00.000000 AM
37|1|13|266484|Errors|0|21-OCT-14 08.00.00.000000 AM
37|1|13|266471|Current Results|60675857|21-OCT-14 08.00.00.000000 AM
37|1|13|266477|Fairness Clears|1705715|21-OCT-14 08.00.00.000000 AM
37|1|13|266481|Flush Queue Full|0|21-OCT-14 08.00.00.000000 AM
37|1|13|266467|CURRENT Block Requests|146426717|21-OCT-14 08.00.00.000000 AM
37|1|13|266469|Undo Block Requests|797040|21-OCT-14 08.00.00.000000 AM
37|1|13|266470|TX Block Requests|5645838|21-OCT-14 08.00.00.000000 AM
37|1|13|266480|Flushes Queued|0|21-OCT-14 08.00.00.000000 AM
37|1|13|266473|Zero Results|2568515|21-OCT-14 08.00.00.000000 AM
37|1|13|266474|Disk Read Results|128801765|21-OCT-14 08.00.00.000000 AM
37|1|13|266476|Fairness Down Converts|20263078|21-OCT-14 08.00.00.000000 AM
37|1|13|266479|Flushes|3284702|21-OCT-14 08.00.00.000000 AM
37|1|13|266482|Flush Max Time (us)|0|21-OCT-14 08.00.00.000000 AM
37|1|13|266475|Fail Results|68422|21-OCT-14 08.00.00.000000 AM
37|1|13|266468|Data Block Requests|45860450|21-OCT-14 08.00.00.000000 AM
37|1|14|266475|Fail Results|77719|22-OCT-14 08.00.00.000000 AM
37|1|14|266479|Flushes|2953494|22-OCT-14 08.00.00.000000 AM
37|1|14|266467|CURRENT Block Requests|106423007|22-OCT-14 08.00.00.000000 AM
37|1|14|266477|Fairness Clears|1557502|22-OCT-14 08.00.00.000000 AM
37|1|14|266470|TX Block Requests|5433387|22-OCT-14 08.00.00.000000 AM
37|1|14|266471|Current Results|60094340|22-OCT-14 08.00.00.000000 AM
37|1|14|266483|Light Works|2745457|22-OCT-14 08.00.00.000000 AM
37|1|14|266466|CR Block Requests|44609510|22-OCT-14 08.00.00.000000 AM
37|1|14|266473|Zero Results|2224818|22-OCT-14 08.00.00.000000 AM
37|1|14|266476|Fairness Down Converts|20435879|22-OCT-14 08.00.00.000000 AM
37|1|14|266480|Flushes Queued|0|22-OCT-14 08.00.00.000000 AM
37|1|14|266468|Data Block Requests|44614970|22-OCT-14 08.00.00.000000 AM
37|1|14|266474|Disk Read Results|88492716|22-OCT-14 08.00.00.000000 AM
37|1|14|266469|Undo Block Requests|1601623|22-OCT-14 08.00.00.000000 AM
37|1|14|266478|Free GC Elements|0|22-OCT-14 08.00.00.000000 AM
37|1|14|266481|Flush Queue Full|0|22-OCT-14 08.00.00.000000 AM
37|1|14|266472|Private results|123545|22-OCT-14 08.00.00.000000 AM
37|1|14|266482|Flush Max Time (us)|0|22-OCT-14 08.00.00.000000 AM
37|1|14|266484|Errors|0|22-OCT-14 08.00.00.000000 AM
37|1|15|266471|Current Results|61522257|23-OCT-14 08.00.00.000000 AM
37|1|15|266477|Fairness Clears|1526769|23-OCT-14 08.00.00.000000 AM
37|1|15|266478|Free GC Elements|0|23-OCT-14 08.00.00.000000 AM
37|1|15|266482|Flush Max Time (us)|0|23-OCT-14 08.00.00.000000 AM
37|1|15|266483|Light Works|2037948|23-OCT-14 08.00.00.000000 AM
37|1|15|266484|Errors|0|23-OCT-14 08.00.00.000000 AM
37|1|15|266470|TX Block Requests|5099454|23-OCT-14 08.00.00.000000 AM
37|1|15|266479|Flushes|3203257|23-OCT-14 08.00.00.000000 AM
37|1|15|266467|CURRENT Block Requests|228243986|23-OCT-14 08.00.00.000000 AM
37|1|15|266469|Undo Block Requests|940074|23-OCT-14 08.00.00.000000 AM
37|1|15|266473|Zero Results|2404422|23-OCT-14 08.00.00.000000 AM
37|1|15|266475|Fail Results|99498|23-OCT-14 08.00.00.000000 AM
37|1|15|266481|Flush Queue Full|0|23-OCT-14 08.00.00.000000 AM
37|1|15|266466|CR Block Requests|45512443|23-OCT-14 08.00.00.000000 AM
37|1|15|266468|Data Block Requests|45519667|23-OCT-14 08.00.00.000000 AM
37|1|15|266476|Fairness Down Converts|19234628|23-OCT-14 08.00.00.000000 AM
37|1|15|266472|Private results|133520|23-OCT-14 08.00.00.000000 AM
37|1|15|266474|Disk Read Results|209579559|23-OCT-14 08.00.00.000000 AM
