site_id|config_id|run_id|stat_id|stat_name|stat_per_sec|stat_per_trans|start_time
37|1|22|266337|Estd Interconnect traffic (KB)|114327.12||03-NOV-14 08.00.00.000000 AM
37|1|22|266332|Global Cache blocks received|6164.82|17.4|03-NOV-14 08.00.00.000000 AM
37|1|22|266335|GCS/GES messages sent|40164.73|113.28|03-NOV-14 08.00.00.000000 AM
37|1|24|266332|Global Cache blocks received|5858.09|16.7|05-NOV-14 08.00.00.000000 AM
37|1|24|266334|GCS/GES messages received|37917.09|108.08|05-NOV-14 08.00.00.000000 AM
37|1|24|266333|Global Cache blocks served|5857.16|16.69|05-NOV-14 08.00.00.000000 AM
37|1|24|266336|DBWR Fusion writes|130.17|.37|05-NOV-14 08.00.00.000000 AM
37|1|24|266335|GCS/GES messages sent|37908.61|108.09|05-NOV-14 08.00.00.000000 AM
37|1|24|266337|Estd Interconnect traffic (KB)|108531.69||05-NOV-14 08.00.00.000000 AM
37|1|25|266335|GCS/GES messages sent|37458.77|106.66|06-NOV-14 08.00.00.000000 AM
37|1|25|266334|GCS/GES messages received|37465.36|106.63|06-NOV-14 08.00.00.000000 AM
37|1|25|266336|DBWR Fusion writes|125.73|.36|06-NOV-14 08.00.00.000000 AM
37|1|25|266332|Global Cache blocks received|5745|16.36|06-NOV-14 08.00.00.000000 AM
37|1|25|266333|Global Cache blocks served|5744.82|16.35|06-NOV-14 08.00.00.000000 AM
37|1|25|266337|Estd Interconnect traffic (KB)|106552.21||06-NOV-14 08.00.00.000000 AM
37|1|23|266334|GCS/GES messages received|39382.73|114|04-NOV-14 08.00.00.000000 AM
37|1|23|266332|Global Cache blocks received|5999.64|17.37|04-NOV-14 08.00.00.000000 AM
37|1|23|266335|GCS/GES messages sent|39371.89|114|04-NOV-14 08.00.00.000000 AM
37|1|23|266337|Estd Interconnect traffic (KB)|111371.95||04-NOV-14 08.00.00.000000 AM
37|1|23|266333|Global Cache blocks served|5999.14|17.36|04-NOV-14 08.00.00.000000 AM
37|1|23|266336|DBWR Fusion writes|129.97|.38|04-NOV-14 08.00.00.000000 AM
37|1|26|266334|GCS/GES messages received|40578.12|113.6|10-NOV-14 08.00.00.000000 AM
37|1|26|266332|Global Cache blocks received|6244.52|17.49|10-NOV-14 08.00.00.000000 AM
37|1|26|266333|Global Cache blocks served|6241.68|17.47|10-NOV-14 08.00.00.000000 AM
37|1|26|266336|DBWR Fusion writes|140.78|.39|10-NOV-14 08.00.00.000000 AM
37|1|26|266337|Estd Interconnect traffic (KB)|115739.01||10-NOV-14 08.00.00.000000 AM
37|1|26|266335|GCS/GES messages sent|40570.91|113.64|10-NOV-14 08.00.00.000000 AM
37|1|27|266333|Global Cache blocks served|5665.45|16.49|11-NOV-14 08.00.00.000000 AM
37|1|27|266337|Estd Interconnect traffic (KB)|105090.84||11-NOV-14 08.00.00.000000 AM
37|1|27|266336|DBWR Fusion writes|126.06|.37|11-NOV-14 08.00.00.000000 AM
37|1|27|266332|Global Cache blocks received|5665.32|16.49|11-NOV-14 08.00.00.000000 AM
37|1|27|266334|GCS/GES messages received|36983.6|107.63|11-NOV-14 08.00.00.000000 AM
37|1|27|266335|GCS/GES messages sent|36973.36|107.64|11-NOV-14 08.00.00.000000 AM
37|1|28|266337|Estd Interconnect traffic (KB)|105254.04||12-NOV-14 08.00.00.000000 AM
37|1|28|266333|Global Cache blocks served|5664.34|16.26|12-NOV-14 08.00.00.000000 AM
37|1|28|266334|GCS/GES messages received|37412.77|107.39|12-NOV-14 08.00.00.000000 AM
37|1|28|266336|DBWR Fusion writes|129.34|.37|12-NOV-14 08.00.00.000000 AM
37|1|28|266332|Global Cache blocks received|5665.8|16.26|12-NOV-14 08.00.00.000000 AM
37|1|28|266335|GCS/GES messages sent|37405.36|107.39|12-NOV-14 08.00.00.000000 AM
37|1|29|266333|Global Cache blocks served|5647.82|16.56|13-NOV-14 08.00.00.000000 AM
37|1|29|266334|GCS/GES messages received|37435.73|109.79|13-NOV-14 08.00.00.000000 AM
37|1|29|266337|Estd Interconnect traffic (KB)|104988.92||13-NOV-14 08.00.00.000000 AM
37|1|29|266335|GCS/GES messages sent|37427.59|109.85|13-NOV-14 08.00.00.000000 AM
37|1|29|266336|DBWR Fusion writes|127.49|.37|13-NOV-14 08.00.00.000000 AM
37|1|29|266332|Global Cache blocks received|5648.08|16.58|13-NOV-14 08.00.00.000000 AM
37|1|30|266334|GCS/GES messages received|35758.41|108.25|14-NOV-14 08.00.00.000000 AM
37|1|30|266333|Global Cache blocks served|5306.34|16.06|14-NOV-14 08.00.00.000000 AM
37|1|30|266336|DBWR Fusion writes|121.43|.37|14-NOV-14 08.00.00.000000 AM
37|1|30|266337|Estd Interconnect traffic (KB)|98864.64||14-NOV-14 08.00.00.000000 AM
37|1|30|266332|Global Cache blocks received|5305.99|16.07|14-NOV-14 08.00.00.000000 AM
37|1|30|266335|GCS/GES messages sent|35747.86|108.27|14-NOV-14 08.00.00.000000 AM
37|1|31|266332|Global Cache blocks received|6143.3|17.24|17-NOV-14 08.00.00.000000 AM
37|1|31|266334|GCS/GES messages received|40425.17|113.38|17-NOV-14 08.00.00.000000 AM
37|1|31|266335|GCS/GES messages sent|40415.62|113.39|17-NOV-14 08.00.00.000000 AM
37|1|31|266333|Global Cache blocks served|6143.24|17.23|17-NOV-14 08.00.00.000000 AM
37|1|31|266336|DBWR Fusion writes|135.02|.38|17-NOV-14 08.00.00.000000 AM
37|1|31|266337|Estd Interconnect traffic (KB)|114081.51||17-NOV-14 08.00.00.000000 AM
37|1|35|266333|Global Cache blocks served|5376.87|16.64|21-NOV-14 08.00.00.000000 AM
37|1|35|266332|Global Cache blocks received|5375.92|16.65|21-NOV-14 08.00.00.000000 AM
37|1|35|266337|Estd Interconnect traffic (KB)|99854.16||21-NOV-14 08.00.00.000000 AM
37|1|35|266335|GCS/GES messages sent|35404.37|109.62|21-NOV-14 08.00.00.000000 AM
37|1|35|266334|GCS/GES messages received|35414.5|109.64|21-NOV-14 08.00.00.000000 AM
37|1|35|266336|DBWR Fusion writes|118.8|.37|21-NOV-14 08.00.00.000000 AM
37|1|36|266333|Global Cache blocks served|5720.27|16.45|24-NOV-14 08.00.00.000000 AM
37|1|36|266335|GCS/GES messages sent|38227.88|109.95|24-NOV-14 08.00.00.000000 AM
37|1|36|266332|Global Cache blocks received|5720.12|16.45|24-NOV-14 08.00.00.000000 AM
37|1|36|266336|DBWR Fusion writes|136.77|.39|24-NOV-14 08.00.00.000000 AM
