site_id|config_id|run_id|stat_id|stat_name|stat_value|stat_end_value|start_time
37|1|3|266029|VM_IN_BYTES|116736||07-OCT-14 08.00.00.000000 AM
37|1|3|266033|NUM_CPU_CORES|12||07-OCT-14 08.00.00.000000 AM
37|1|5|266030|VM_OUT_BYTES|0||09-OCT-14 08.00.00.000000 AM
37|1|5|266032|NUM_CPUS|24||09-OCT-14 08.00.00.000000 AM
37|1|5|266036|GLOBAL_SEND_SIZE_MAX|2097152||09-OCT-14 08.00.00.000000 AM
37|1|5|266040|TCP_SEND_SIZE_DEFAULT|16384||09-OCT-14 08.00.00.000000 AM
37|1|5|266023|IOWAIT_TIME|2335.25||09-OCT-14 08.00.00.000000 AM
37|1|5|266026|USER_TIME|5783697||09-OCT-14 08.00.00.000000 AM
37|1|5|266041|TCP_SEND_SIZE_MAX|4194304||09-OCT-14 08.00.00.000000 AM
37|1|5|266024|NICE_TIME|0||09-OCT-14 08.00.00.000000 AM
37|1|5|266029|VM_IN_BYTES|314368||09-OCT-14 08.00.00.000000 AM
37|1|5|266042|TCP_SEND_SIZE_MIN|4096||09-OCT-14 08.00.00.000000 AM
37|1|5|266021|BUSY_TIME|7315545.25||09-OCT-14 08.00.00.000000 AM
37|1|5|266022|IDLE_TIME|9484456.56||09-OCT-14 08.00.00.000000 AM
37|1|5|266038|TCP_RECEIVE_SIZE_MAX|6291456||09-OCT-14 08.00.00.000000 AM
37|1|5|266039|TCP_RECEIVE_SIZE_MIN|4096||09-OCT-14 08.00.00.000000 AM
37|1|5|266027|LOAD|4.81|3.53|09-OCT-14 08.00.00.000000 AM
37|1|5|266033|NUM_CPU_CORES|12||09-OCT-14 08.00.00.000000 AM
37|1|5|266034|NUM_CPU_SOCKETS|2||09-OCT-14 08.00.00.000000 AM
37|1|5|266035|GLOBAL_RECEIVE_SIZE_MAX|4194304||09-OCT-14 08.00.00.000000 AM
37|1|5|266025|SYS_TIME|1164816.88||09-OCT-14 08.00.00.000000 AM
37|1|5|266028|RSRC_MGR_CPU_WAIT_TIME|0||09-OCT-14 08.00.00.000000 AM
37|1|5|266031|PHYSICAL_MEMORY_BYTES|101178621952||09-OCT-14 08.00.00.000000 AM
37|1|5|266037|TCP_RECEIVE_SIZE_DEFAULT|87380||09-OCT-14 08.00.00.000000 AM
37|1|4|266022|IDLE_TIME|9543419.38||08-OCT-14 08.00.00.000000 AM
37|1|4|266031|PHYSICAL_MEMORY_BYTES|101178621952||08-OCT-14 08.00.00.000000 AM
37|1|4|266033|NUM_CPU_CORES|12||08-OCT-14 08.00.00.000000 AM
37|1|4|266037|TCP_RECEIVE_SIZE_DEFAULT|87380||08-OCT-14 08.00.00.000000 AM
37|1|4|266040|TCP_SEND_SIZE_DEFAULT|16384||08-OCT-14 08.00.00.000000 AM
37|1|4|266021|BUSY_TIME|7266806.75||08-OCT-14 08.00.00.000000 AM
37|1|4|266025|SYS_TIME|1158668.19||08-OCT-14 08.00.00.000000 AM
37|1|4|266032|NUM_CPUS|24||08-OCT-14 08.00.00.000000 AM
37|1|4|266035|GLOBAL_RECEIVE_SIZE_MAX|4194304||08-OCT-14 08.00.00.000000 AM
37|1|4|266036|GLOBAL_SEND_SIZE_MAX|2097152||08-OCT-14 08.00.00.000000 AM
37|1|4|266039|TCP_RECEIVE_SIZE_MIN|4096||08-OCT-14 08.00.00.000000 AM
37|1|4|266027|LOAD|4.19|3.88|08-OCT-14 08.00.00.000000 AM
37|1|4|266028|RSRC_MGR_CPU_WAIT_TIME|0||08-OCT-14 08.00.00.000000 AM
37|1|4|266030|VM_OUT_BYTES|0||08-OCT-14 08.00.00.000000 AM
37|1|4|266034|NUM_CPU_SOCKETS|2||08-OCT-14 08.00.00.000000 AM
37|1|4|266023|IOWAIT_TIME|2010.63||08-OCT-14 08.00.00.000000 AM
